ticker,XLU US Equity,XLU US Equity,XLU US Equity,XLU US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-09-23,63.88,1.8868,8815014.0,94.794
2019-09-24,64.63,1.381,26965701.0,94.794
2019-09-25,64.59,1.3967,16234864.0,94.794
2019-09-26,64.93,1.4254,13403342.0,94.794
2019-09-27,64.7,1.4498,16614848.0,94.794
2019-09-29,64.7,1.4498,16614848.0,92.896
2019-09-30,64.74,1.4382,10845533.0,92.896
2019-10-01,64.59,1.3812,23809563.0,92.896
2019-10-02,63.73,1.4689,19871548.0,92.896
2019-10-03,63.88,1.3785,34803196.0,92.896
2019-10-04,64.77,1.3356,18802381.0,92.896
2019-10-06,64.77,1.3356,18802381.0,93.006
2019-10-07,64.52,1.4178,13648836.0,93.006
2019-10-08,63.92,1.4904,21656158.0,93.006
2019-10-09,64.23,1.5394999999999999,9008209.0,93.006
2019-10-10,64.16,1.5577,15612446.0,93.006
2019-10-11,63.92,1.5943,16110856.0,93.006
2019-10-13,63.92,1.5943,16110856.0,93.053
2019-10-14,63.51,1.6863000000000001,10013168.0,93.053
2019-10-15,63.31,1.6782,15905664.0,93.053
2019-10-16,63.45,1.6898,16230696.0,93.053
2019-10-17,63.61,1.666,13230050.0,93.053
2019-10-18,63.82,1.6263999999999998,14552882.0,93.053
2019-10-20,63.82,1.6263999999999998,14552882.0,90.834
2019-10-21,64.07,1.557,11480158.0,90.834
2019-10-22,64.34,1.5124,15805857.0,90.834
2019-10-23,64.6,1.5179,12933120.0,90.834
2019-10-24,64.82,1.5032,11480620.0,90.834
2019-10-25,64.16,1.5011,16925130.0,90.834
2019-10-27,64.16,1.5011,16925130.0,91.047
2019-10-28,63.28,1.6109,25068608.0,91.047
2019-10-29,63.34,1.5237,19772413.0,91.047
2019-10-30,63.9,1.5199,19680340.0,91.047
2019-10-31,64.25,1.5657999999999999,17245867.0,91.047
2019-11-01,64.09,1.5276999999999998,15690936.0,91.047
2019-11-03,64.09,1.5276999999999998,15690936.0,93.598
2019-11-04,63.27,1.5735999999999999,24342788.0,93.598
2019-11-05,62.62,1.4236,21996855.0,93.598
2019-11-06,62.86,1.4273,17771929.0,93.598
2019-11-07,62.01,1.6822,22844714.0,93.598
2019-11-08,61.75,1.7395,15971627.0,93.598
2019-11-10,61.75,1.7395,15971627.0,89.514
2019-11-11,61.37,1.6446,9274318.0,89.514
2019-11-12,61.52,1.5493999999999999,12668515.0,89.514
2019-11-13,62.43,1.5514999999999999,17293102.0,89.514
2019-11-14,62.65,1.5502,16836021.0,89.514
2019-11-15,62.85,1.5207000000000002,9966727.0,89.514
2019-11-17,62.85,1.5207000000000002,9966727.0,96.453
2019-11-18,62.98,1.5112,16490830.0,96.453
2019-11-19,62.82,1.605,18052433.0,96.453
2019-11-20,63.2,1.6105,19679533.0,96.453
2019-11-21,62.98,1.6080999999999999,14209045.0,96.453
2019-11-22,63.0,1.5926,11485205.0,96.453
2019-11-24,63.0,1.5926,11485205.0,95.269
2019-11-25,62.79,1.615,20399303.0,95.269
2019-11-26,63.0,1.5949,16157005.0,95.269
2019-11-27,63.11,1.5971,12528286.0,95.269
2019-11-29,63.05,1.5896,5121473.0,95.269
2019-12-01,63.05,1.5896,5121473.0,95.968
2019-12-02,62.64,1.6520000000000001,18700616.0,95.968
2019-12-03,62.81,1.5609,12926016.0,95.968
2019-12-04,63.29,1.5487,19597699.0,95.968
2019-12-05,63.4,1.6135000000000002,12450190.0,95.968
2019-12-06,63.21,1.6096,9582247.0,95.968
2019-12-08,63.21,1.6096,9582247.0,90.745
2019-12-09,62.99,1.6312,12025007.0,90.745
2019-12-10,62.98,1.5609,12598784.0,90.745
2019-12-11,63.15,1.5932,11990090.0,90.745
2019-12-12,62.88,1.6240999999999999,24118701.0,90.745
2019-12-13,63.37,1.6763,19334589.0,90.745
2019-12-15,63.37,1.6763,19334589.0,94.346
2019-12-16,64.16,1.7213,20774681.0,94.346
2019-12-17,64.37,1.5417999999999998,16847277.0,94.346
2019-12-18,64.63,1.5492,12808112.0,94.346
2019-12-19,64.65,1.5598999999999998,16901621.0,94.346
2019-12-20,64.59,2.4641,22971226.0,94.346
2019-12-22,64.59,2.4641,22971226.0,96.75
2019-12-23,63.99,2.5413,16477952.0,96.75
2019-12-24,64.08,2.2485,4512821.0,96.75
2019-12-26,64.19,2.2533,6658664.0,96.75
2019-12-27,64.38,2.2361,10301681.0,96.75
2019-12-29,64.38,2.2361,10301681.0,95.074
2019-12-30,64.37,2.0794,11934365.0,95.074
2019-12-31,64.62,2.0705,10808397.0,95.074
