ticker,XLB US Equity,XLB US Equity,XLB US Equity,XLB US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-04-30,57.45,1.1313,3399227.0,97.099
2019-05-01,56.41,1.1105,6550939.0,97.099
2019-05-02,56.12,1.102,10973368.0,97.099
2019-05-03,56.67,1.3105,6033379.0,97.099
2019-05-05,56.67,1.3105,6033379.0,100.001
2019-05-06,55.86,1.2925,15601099.0,100.001
2019-05-07,54.88,1.5245,9750966.0,100.001
2019-05-08,54.83,1.6842000000000001,6159679.0,100.001
2019-05-09,54.4,1.728,6714372.0,100.001
2019-05-10,55.14,1.8693,6472860.0,100.001
2019-05-12,55.14,1.8693,6472860.0,111.525
2019-05-13,53.9,1.8849,7048777.0,111.525
2019-05-14,54.36,2.1033,6101857.0,111.525
2019-05-15,54.22,2.0364,5262173.0,111.525
2019-05-16,54.98,2.1427,4905329.0,111.525
2019-05-17,54.65,2.0297,6083322.0,111.525
2019-05-19,54.65,2.0297,6083322.0,123.07
2019-05-20,53.87,1.8472,5016528.0,123.07
2019-05-21,54.7,1.7652,4371714.0,123.07
2019-05-22,54.32,1.6451,5308497.0,123.07
2019-05-23,53.49,1.609,4922673.0,123.07
2019-05-24,53.79,1.2013,4090366.0,123.07
2019-05-26,53.79,1.2013,4090366.0,123.7
2019-05-28,53.25,1.2294,4826056.0,123.7
2019-05-29,53.26,1.3211,8738785.0,123.7
2019-05-30,53.35,1.2822,4475082.0,123.7
2019-05-31,52.75,1.3146,5991764.0,123.7
2019-06-02,52.75,1.3146,5991764.0,124.869
2019-06-03,54.41,1.2519,13155424.0,124.869
2019-06-04,55.94,1.1958,17778221.0,124.869
2019-06-05,56.35,1.0615,19704292.0,124.869
2019-06-06,57.02,1.1107,19911719.0,124.869
2019-06-07,57.53,1.1889,23211132.0,124.869
2019-06-09,57.53,1.1889,23211132.0,110.981
2019-06-10,57.63,1.2821,14362623.0,110.981
2019-06-11,57.59,1.271,7868652.0,110.981
2019-06-12,57.78,1.3437999999999999,3550419.0,110.981
2019-06-13,58.12,1.4713,7392116.0,110.981
2019-06-14,57.87,1.5358,3937713.0,110.981
2019-06-16,57.87,1.5358,3937713.0,99.785
2019-06-17,57.34,1.5352000000000001,7507049.0,99.785
2019-06-18,57.79,1.5047000000000001,6887864.0,99.785
