ticker,XLY US Equity,XLY US Equity,XLY US Equity,XLY US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-05-17,115.91,1.4499,3674507.0,78.002
2019-05-19,115.91,1.4499,3674507.0,77.166
2019-05-20,115.09,1.5008,3538433.0,77.166
2019-05-21,115.89,1.4915,3660299.0,77.166
2019-05-22,114.7,1.4772,3945431.0,77.166
2019-05-23,113.28,1.4581,4956488.0,77.166
2019-05-24,113.43,1.461,2632546.0,77.166
2019-05-26,113.43,1.461,2632546.0,78.229
2019-05-28,112.68,1.4291,4117968.0,78.229
2019-05-29,111.68,1.4227,4768721.0,78.229
2019-05-30,112.41,1.4006,3897644.0,78.229
2019-05-31,110.94,1.3881999999999999,4252246.0,78.229
2019-06-02,110.94,1.3881999999999999,4252246.0,78.504
2019-06-03,110.01,1.3323,8065586.0,78.504
2019-06-04,112.99,1.3946,5739530.0,78.504
2019-06-05,113.55,1.3902999999999999,5258624.0,78.504
2019-06-06,114.13,1.3817,3659817.0,78.504
2019-06-07,115.78,1.3854,4044915.0,78.504
2019-06-09,115.78,1.3854,4044915.0,77.752
2019-06-10,116.76,1.5013999999999998,3729915.0,77.752
2019-06-11,117.21,1.5154,5029539.0,77.752
2019-06-12,117.18,1.4971999999999999,2792922.0,77.752
2019-06-13,118.23,1.4827,3846360.0,77.752
2019-06-14,118.49,1.5152999999999999,2547213.0,77.752
2019-06-16,118.49,1.5152999999999999,2547213.0,74.879
2019-06-17,118.54,1.593,2682356.0,74.879
2019-06-18,119.44,1.5159,4398769.0,74.879
2019-06-19,119.66,1.5381,3065283.0,74.879
2019-06-20,120.49,1.5359,4188593.0,74.879
2019-06-21,119.52,2.2717,5221239.0,74.879
2019-06-23,119.52,2.2717,5221239.0,75.451
2019-06-24,118.88,2.2852,2890305.0,75.451
2019-06-25,117.74,1.5804,3197210.0,75.451
2019-06-26,118.12,1.5671,2438103.0,75.451
2019-06-27,118.86,1.5863,1954508.0,75.451
2019-06-28,119.2,1.6352,6663696.0,75.451
2019-06-30,119.2,1.6352,6663696.0,76.749
2019-07-01,120.25,1.6545999999999998,4149736.0,76.749
2019-07-02,120.51,1.4658,9008528.0,76.749
2019-07-03,121.56,1.4505,1809553.0,76.749
2019-07-05,121.7,1.4633,3377531.0,76.749
2019-07-07,121.7,1.4633,3377531.0,77.886
2019-07-08,121.85,1.6404,5074579.0,77.886
2019-07-09,121.98,1.5852,1933470.0,77.886
2019-07-10,122.42,1.5804,2385061.0,77.886
2019-07-11,122.67,1.5752000000000002,1976179.0,77.886
2019-07-12,124.08,1.5768,2487718.0,77.886
2019-07-14,124.08,1.5768,2487718.0,76.096
2019-07-15,124.48,1.5986,1996598.0,76.096
2019-07-16,124.32,1.5551,2051749.0,76.096
2019-07-17,123.13,1.6036000000000001,2299627.0,76.096
2019-07-18,122.97,1.5963,2323053.0,76.096
2019-07-19,122.16,1.6152,2064128.0,76.096
2019-07-21,122.16,1.6152,2064128.0,70.592
2019-07-22,122.23,1.8336000000000001,2017022.0,70.592
2019-07-23,123.06,1.5171000000000001,2429207.0,70.592
2019-07-24,123.68,1.4026,2116785.0,70.592
2019-07-25,122.99,1.4019,2399525.0,70.592
2019-07-26,123.55,1.4032,2140166.0,70.592
2019-07-28,123.55,1.4032,2140166.0,73.236
2019-07-29,122.95,1.4572,2205413.0,73.236
2019-07-30,122.12,1.437,2165182.0,73.236
2019-07-31,120.72,1.428,4301714.0,73.236
2019-08-01,119.08,1.4337,6631779.0,73.236
2019-08-02,118.1,1.4194,5550186.0,73.236
2019-08-04,118.1,1.4194,5550186.0,71.972
2019-08-05,114.93,1.3905,6890823.0,71.972
2019-08-06,116.68,1.6175000000000002,4447830.0,71.972
2019-08-07,117.15,1.5433,5844916.0,71.972
2019-08-08,119.41,1.5217,4669197.0,71.972
2019-08-09,118.29,1.5038,3976369.0,71.972
2019-08-11,118.29,1.5038,3976369.0,73.144
2019-08-12,116.57,1.5217,3201285.0,73.144
2019-08-13,118.49,1.5531000000000001,4642874.0,73.144
2019-08-14,114.78,1.5303,6406512.0,73.144
2019-08-15,114.59,1.4771,5055419.0,73.144
2019-08-16,115.89,1.4667,3980350.0,73.144
2019-08-18,115.89,1.4667,3980350.0,74.597
2019-08-19,117.35,1.4328,3122723.0,74.597
2019-08-20,117.38,1.492,3267072.0,74.597
2019-08-21,119.64,1.5187,4670547.0,74.597
2019-08-22,119.67,1.6179999999999999,2952113.0,74.597
2019-08-23,116.49,1.5664,7691828.0,74.597
2019-08-25,116.49,1.5664,7691828.0,75.462
2019-08-26,117.64,1.5666,3453022.0,75.462
2019-08-27,117.06,1.5556,3348097.0,75.462
2019-08-28,118.52,1.5104,3891185.0,75.462
2019-08-29,120.3,1.4457,2939487.0,75.462
2019-08-30,119.58,1.4134,3413757.0,75.462
2019-09-01,119.58,1.4134,3413757.0,75.332
2019-09-03,119.09,1.4138,4322516.0,75.332
2019-09-04,120.27,1.4266,4172500.0,75.332
2019-09-05,122.57,1.3766,3671890.0,75.332
2019-09-06,122.87,1.3742,3493456.0,75.332
2019-09-08,122.87,1.3742,3493456.0,75.375
2019-09-09,123.34,1.4191,3259252.0,75.375
2019-09-10,122.85,1.4304999999999999,3650572.0,75.375
2019-09-11,123.08,1.4588999999999999,3408853.0,75.375
2019-09-12,123.67,1.3813,3343189.0,75.375
2019-09-13,123.42,1.4089,2014872.0,75.375
2019-09-15,123.42,1.4089,2014872.0,75.087
2019-09-16,121.84,1.4485999999999999,3401308.0,75.087
2019-09-17,122.58,1.4604,2256638.0,75.087
2019-09-18,122.52,1.4553,2980523.0,75.087
2019-09-19,122.19,1.5379,2268844.0,75.087
2019-09-20,120.39,1.7203,3815158.0,75.087
