ticker,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-04-10,14.28,30.39,1340.0,21.3592,7.3026,4.4276,4.84,4.6818
2019-04-11,14.23,30.39,1338.34,21.3384,7.2935,4.4221,4.85,4.6864
2019-04-12,14.23,30.39,1347.62,21.4865,7.3441,4.4528,4.8100000000000005,4.6541
2019-04-15,14.23,30.39,1347.12,21.4321,7.3414,4.4511,4.82,4.6659
2019-04-16,14.22,30.39,1353.67,21.5363,7.3771,4.4728,4.79,4.6433
2019-04-17,11.93,30.39,1361.53,21.6623,7.4199,4.4987,4.79,4.6163
2019-04-18,11.9,30.39,1365.38,21.7171,7.4409,4.5116,4.77,4.6047
2019-04-19,11.9,30.39,1365.38,21.7171,7.4409,4.5116,4.77,4.6047
2019-04-22,11.95,30.39,1368.48,21.7822,7.4578,4.5218,4.76,4.5908999999999995
2019-04-23,11.9,30.39,1383.92,22.0155,7.5419,4.5728,4.71,4.5422
2019-04-24,9.56,30.39,1383.8,22.0137,7.5413,4.5724,4.71,4.5426
2019-04-25,9.86,30.39,1383.78,22.0134,7.5412,4.5724,4.71,4.5427
2019-04-26,9.96,30.39,1378.9,21.9306,7.5146,4.556,4.73,4.5598
2019-04-29,9.84,30.39,1378.82,22.0065,7.543,4.5561,4.76,4.5441
2019-04-30,9.87,30.52,1381.76,22.1473,7.5292,4.5553,4.78,4.5152
2019-05-01,9.84,30.52,1378.01,22.0872,7.5088,4.5429,4.79,4.5275
2019-05-02,9.88,30.52,1370.58,21.9682,7.4683,4.5184999999999995,4.82,4.552
2019-05-03,9.9,30.52,1383.55,22.176,7.539,4.5612,4.77,4.5094
2019-05-06,9.9,30.53,1372.25,22.2426,7.4892,4.521,4.82,4.4959
2019-05-07,9.9,30.53,1343.21,21.7719,7.3307,4.4254,4.93,4.5931
2019-05-08,9.89,30.53,1340.96,21.7354,7.3184000000000005,4.418,4.9399999999999995,4.6008
2019-05-09,9.91,30.53,1331.85,21.5878,7.2687,4.3879,4.97,4.6323
2019-05-10,9.93,30.53,1334.23,21.6263,7.2817,4.3958,4.96,4.624
2019-05-13,9.94,30.53,1284.72,20.8238,7.0115,4.2327,5.15,4.8022
2019-05-14,9.91,30.53,1305.26,21.1568,7.1236,4.3003,5.07,4.7266
2019-05-15,9.91,30.53,1318.1,21.3649,7.1936,4.3426,5.02,4.6806
2019-05-16,9.94,30.53,1331.12,21.5755,7.2647,4.3855,4.97,4.6349
2019-05-17,10.54,30.53,1320.19,21.3983,7.205,4.3495,5.01,4.6733
2019-05-20,10.49,30.53,1297.15,21.0359,7.0793,4.2736,5.1,4.7538
2019-05-21,10.5,30.53,1312.69,21.2879,7.1641,4.3248,5.04,4.6975
2019-05-22,10.48,30.53,1305.25,21.1693,7.1235,4.3003,5.07,4.7238
2019-05-23,10.46,30.53,1282.69,20.8034,7.0004,4.226,5.15,4.8069
2019-05-24,10.48,30.53,1283.32,20.8136,7.0038,4.228,5.15,4.8045
2019-05-27,10.48,30.53,1283.32,20.8136,7.0038,4.228,5.15,4.8045
2019-05-28,10.49,30.53,1279.08,20.7449,6.9807,4.2141,5.17,4.8205
2019-05-29,10.5,30.53,1271.44,20.6167,6.939,4.1889,5.21,4.8504000000000005
2019-05-30,10.53,30.48,1279.09,20.9473,6.9725,4.2259,5.15,4.7739
2019-05-31,10.54,30.53,1258.6,20.544,6.8643,4.1487,5.25,4.8676
2019-06-03,10.49,30.53,1236.49,20.1824,6.7437000000000005,4.0758,5.34,4.9548
2019-06-04,10.5,30.53,1276.85,20.8404,6.9638,4.2088,5.17,4.7984
2019-06-05,10.49,30.5,1294.44,21.1456,7.063,4.2668,5.14,4.7291
2019-06-06,10.5,30.53,1308.5,21.3574,7.1364,4.3132,5.12,4.6822
2019-06-07,10.51,30.53,1333.69,21.7685,7.2738,4.3962,5.02,4.5938
2019-06-10,10.5,30.53,1346.78,21.9883,7.3452,4.4394,4.97,4.5479
2019-06-11,10.48,30.53,1347.03,21.9915,7.3465,4.4402,4.95,4.5472
2019-06-12,10.48,30.53,1339.26,21.8641,7.3042,4.4146,4.98,4.5737
2019-06-13,10.47,30.53,1342.19,21.9119,7.3202,4.4242,4.97,4.5637
2019-06-14,10.44,30.53,1331.07,21.7307,7.2595,4.3876,5.01,4.6018
2019-06-17,10.45,30.53,1333.28,21.7809,7.2716,4.3949,5.0,4.5912
2019-06-18,10.46,30.53,1356.19,22.1552,7.3965,4.4704,4.92,4.5136
2019-06-19,10.43,30.53,1362.09,22.2516,7.4287,4.4899000000000004,4.89,4.4940999999999995
2019-06-20,10.42,30.53,1381.59,22.5701,7.535,4.5542,4.82,4.4306
2019-06-21,10.37,30.53,1375.26,22.4667,7.5005,4.5333,4.87,4.451
2019-06-24,10.38,30.5,1377.33,22.5736,7.5206,4.5526,4.85,4.4299
2019-06-25,10.35,30.5,1352.02,22.1588,7.3824,4.469,4.9399999999999995,4.5129
2019-06-26,10.41,30.5,1366.8,22.401,7.4631,4.5178,4.89,4.4641
2019-06-27,10.44,30.5,1370.6,22.4633,7.4838000000000005,4.5304,4.87,4.4517
2019-06-28,10.47,30.48,1372.56,22.5982,7.4852,4.5442,4.86,4.4251
2019-07-01,10.48,31.9,1392.41,22.2041,7.487,4.5498,4.87,4.5037
2019-07-02,10.48,31.9,1396.41,22.2678,7.5085,4.5628,4.86,4.4908
2019-07-03,11.37,31.9,1405.88,22.4189,7.5594,4.5938,4.82,4.4605
2019-07-04,11.37,31.9,1405.88,22.4189,7.5594,4.5938,4.82,4.4605
2019-07-05,11.36,31.91,1403.17,22.3728,7.5488,4.5845,4.83,4.4697
2019-07-08,11.43,31.91,1392.92,22.1977,7.4936,4.551,4.87,4.505
2019-07-09,11.49,31.91,1397.3,22.2675,7.5172,4.5653,4.85,4.4909
2019-07-10,11.54,31.91,1408.51,22.4454,7.5775,4.602,4.8100000000000005,4.4552
2019-07-11,11.57,31.91,1413.28,22.5215,7.6030999999999995,4.6176,4.8,4.4402
2019-07-12,11.58,31.91,1424.52,22.7006,7.6636,4.6543,4.76,4.4052
2019-07-15,11.57,31.98,1428.79,22.6725,7.6584,4.6536,4.76,4.4106
2019-07-16,12.45,31.98,1415.8,22.4504,7.5888,4.6112,4.8,4.4543
2019-07-17,12.54,31.98,1411.65,22.3846,7.5665,4.5977,4.8100000000000005,4.4673
2019-07-18,12.6,31.98,1423.02,22.5649,7.6274999999999995,4.6348,4.78,4.4317
2019-07-19,12.14,31.98,1415.14,22.44,7.5852,4.6091,4.8,4.4563
2019-07-22,12.18,31.98,1432.44,22.6929,7.678,4.6654,4.74,4.4067
2019-07-23,12.17,31.98,1440.39,22.8188,7.7206,4.6913,4.72,4.3823
2019-07-24,12.16,31.98,1452.75,23.0146,7.7868,4.7316,4.68,4.3451
2019-07-25,11.95,31.98,1441.26,22.8326,7.7252,4.6942,4.68,4.3451
2019-07-26,11.94,31.99,1449.31,22.9812,7.7709,4.7208,4.6899999999999995,4.3514
2019-07-29,11.89,32.01,1448.58,23.0082,7.7897,4.7152,4.6899999999999995,4.3463
2019-07-30,11.87,32.18,1438.49,22.8793,7.7489,4.6874,4.72,4.3708
2019-07-31,11.79,32.16,1417.35,22.5913,7.6477,4.6091999999999995,4.8100000000000005,4.4265
2019-08-01,11.83,32.5,1409.78,22.5447,7.5657,4.588,4.84,4.4356
2019-08-02,11.89,32.48,1386.07,22.2079,7.4388,4.5149,4.91,4.5029
