ticker,XLK US Equity,XLK US Equity,XLK US Equity,XLK US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-05-03,78.84,1.1593,13288420.0,65.184
2019-05-05,78.84,1.1593,13288420.0,64.926
2019-05-06,78.23,1.0933,13022479.0,64.926
2019-05-07,76.55,1.1189,20625711.0,64.926
2019-05-08,76.46,1.1283,13667465.0,64.926
2019-05-09,75.94,1.191,19300910.0,64.926
2019-05-10,76.18,1.259,19596295.0,64.926
2019-05-12,76.18,1.259,19596295.0,64.824
2019-05-13,73.31,1.259,25461207.0,64.824
2019-05-14,74.49,1.1994,18404280.0,64.824
2019-05-15,75.3,1.2003,15048875.0,64.824
2019-05-16,75.99,1.1225,15444976.0,64.824
2019-05-17,75.38,1.1513,13543996.0,64.824
2019-05-19,75.38,1.1513,13543996.0,67.56
2019-05-20,74.07,1.1142,14673932.0,67.56
2019-05-21,74.98,1.081,14841128.0,67.56
2019-05-22,74.59,1.0542,11521081.0,67.56
2019-05-23,73.28,1.0227,16085696.0,67.56
2019-05-24,73.3,1.0152,11750019.0,67.56
2019-05-26,73.3,1.0152,11750019.0,66.421
2019-05-28,73.09,0.9967,25772770.0,66.421
2019-05-29,72.66,1.0687,14754806.0,66.421
2019-05-30,73.11,1.0555,11420530.0,66.421
2019-05-31,71.89,1.0289,12039782.0,66.421
2019-06-02,71.89,1.0289,12039782.0,65.544
2019-06-03,70.63,1.0086,19703698.0,65.544
2019-06-04,72.99,1.0456,15096174.0,65.544
2019-06-05,73.94,1.0929,14395841.0,65.544
2019-06-06,74.8,1.084,11922461.0,65.544
2019-06-07,76.19,1.0803,11992069.0,65.544
2019-06-09,76.19,1.0803,11992069.0,65.914
2019-06-10,76.97,1.1371,13463779.0,65.914
2019-06-11,76.97,1.1139000000000001,11550125.0,65.914
2019-06-12,76.54,1.15,7596943.0,65.914
2019-06-13,76.77,1.1351,9867761.0,65.914
2019-06-14,76.1,1.1303,8441689.0,65.914
2019-06-16,76.1,1.1303,8441689.0,65.137
2019-06-17,76.16,1.1598,9351130.0,65.137
2019-06-18,77.54,1.1223,16181183.0,65.137
2019-06-19,77.82,1.0954,12371290.0,65.137
2019-06-20,78.96,1.0954,13891896.0,65.137
2019-06-21,78.31,1.4653,20715371.0,65.137
2019-06-23,78.31,1.4653,20715371.0,66.756
2019-06-24,78.46,1.4687999999999999,8216118.0,66.756
2019-06-25,77.02,1.304,13122665.0,66.756
2019-06-26,77.85,1.3153000000000001,9069181.0,66.756
2019-06-27,78.05,1.2868,6837616.0,66.756
2019-06-28,78.04,1.2872,17783356.0,66.756
2019-06-30,78.04,1.2872,17783356.0,68.003
2019-07-01,79.28,1.3158,14290707.0,68.003
2019-07-02,79.49,1.2953999999999999,7784480.0,68.003
2019-07-03,80.1,1.3107,5341772.0,68.003
2019-07-05,79.95,1.3102,5924127.0,68.003
2019-07-07,79.95,1.3102,5924127.0,68.475
2019-07-08,79.34,1.3631,7459937.0,68.475
2019-07-09,79.62,1.3317999999999999,9249826.0,68.475
2019-07-10,80.25,1.3324,10108944.0,68.475
2019-07-11,80.55,1.3344,11352423.0,68.475
2019-07-12,81.14,1.357,7753421.0,68.475
2019-07-14,81.14,1.357,7753421.0,68.106
2019-07-15,81.41,1.426,6286126.0,68.106
2019-07-16,80.65,1.4039,8005994.0,68.106
2019-07-17,80.44,1.4186,6708000.0,68.106
2019-07-18,81.04,1.432,8022393.0,68.106
2019-07-19,80.69,1.3955,11679742.0,68.106
2019-07-21,80.69,1.3955,11679742.0,65.955
2019-07-22,81.62,1.5762,6924663.0,65.955
2019-07-23,82.07,1.2978,5505508.0,65.955
2019-07-24,82.75,1.3172,9257101.0,65.955
2019-07-25,82.41,1.3698000000000001,9923370.0,65.955
2019-07-26,82.59,1.3706,11120160.0,65.955
2019-07-28,82.59,1.3706,11120160.0,65.069
2019-07-29,82.54,1.3813,8473219.0,65.069
2019-07-30,82.01,1.3509,7366949.0,65.069
2019-07-31,80.77,1.3604,16869250.0,65.069
2019-08-01,80.36,1.3620999999999999,28833005.0,65.069
2019-08-02,79.05,1.3546,22371946.0,65.069
2019-08-04,79.05,1.3546,22371946.0,64.45
2019-08-05,75.75,1.346,27826563.0,64.45
2019-08-06,77.01,1.3929,19150939.0,64.45
2019-08-07,77.49,1.397,20582422.0,64.45
2019-08-08,79.39,1.4098,15991578.0,64.45
2019-08-09,78.49,1.5039,15572602.0,64.45
