ticker,XLI US Equity,XLI US Equity,XLI US Equity,XLI US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-06-19,76.55,2.2303,11171676.0,102.565
2019-06-20,77.83,2.1524,14503224.0,102.565
2019-06-21,77.08,2.925,11526835.0,102.565
2019-06-23,77.08,2.925,11526835.0,101.383
2019-06-24,76.93,2.9116999999999997,8388348.0,101.383
2019-06-25,76.35,2.914,9267637.0,101.383
2019-06-26,76.54,3.0671,7262692.0,101.383
2019-06-27,76.61,3.0249,7573783.0,101.383
2019-06-28,77.42,2.6767,11152333.0,101.383
2019-06-30,77.42,2.6767,11152333.0,99.712
2019-07-01,77.49,2.6731,10319402.0,99.712
2019-07-02,77.39,2.5443,9237308.0,99.712
2019-07-03,77.82,2.4050000000000002,8091385.0,99.712
2019-07-05,77.51,2.2744,6388987.0,99.712
2019-07-07,77.51,2.2744,6388987.0,99.619
2019-07-08,76.87,2.292,6039855.0,99.619
2019-07-09,76.7,2.1847,10137495.0,99.619
2019-07-10,76.52,2.3127,10124841.0,99.619
2019-07-11,77.04,2.2835,7393867.0,99.619
2019-07-12,78.39,2.3438,12152773.0,99.619
2019-07-14,78.39,2.3438,12152773.0,100.013
2019-07-15,78.07,2.4399,4452546.0,100.013
2019-07-16,78.57,2.0942,8115339.0,100.013
2019-07-17,76.89,2.102,11235096.0,100.013
2019-07-18,77.03,1.9921,6647874.0,100.013
2019-07-19,77.45,1.9996,7601729.0,100.013
2019-07-21,77.45,1.9996,7601729.0,99.614
2019-07-22,77.51,2.123,8448168.0,99.614
2019-07-23,78.49,1.3195000000000001,10284179.0,99.614
2019-07-24,78.83,1.3202,8692520.0,99.614
2019-07-25,78.67,1.3900000000000001,8759039.0,99.614
2019-07-26,78.5,1.3966,6148092.0,99.614
2019-07-28,78.5,1.3966,6148092.0,96.263
2019-07-29,78.36,1.4683,5387503.0,96.263
2019-07-30,78.7,1.3702,7071716.0,96.263
2019-07-31,77.82,1.3615,12485267.0,96.263
2019-08-01,76.31,1.3216,18665734.0,96.263
2019-08-02,75.82,1.3898,12992427.0,96.263
2019-08-04,75.82,1.3898,12992427.0,98.261
2019-08-05,73.72,1.4323000000000001,14505160.0,98.261
2019-08-06,74.83,1.5861,11758586.0,98.261
2019-08-07,74.79,1.6409,15604345.0,98.261
2019-08-08,76.06,1.5234,9353090.0,98.261
2019-08-09,75.42,1.5953,8213556.0,98.261
2019-08-11,75.42,1.5953,8213556.0,100.415
2019-08-12,74.38,1.619,15215506.0,100.415
2019-08-13,75.27,1.5819999999999999,14380814.0,100.415
2019-08-14,72.97,1.5862,13653813.0,100.415
2019-08-15,72.89,1.496,11981828.0,100.415
2019-08-16,74.3,1.48,9575517.0,100.415
2019-08-18,74.3,1.48,9575517.0,92.515
2019-08-19,75.0,1.4029,4260525.0,92.515
2019-08-20,74.56,1.2624,4695401.0,92.515
2019-08-21,75.02,1.2697,5399205.0,92.515
2019-08-22,75.13,1.3019,7692406.0,92.515
2019-08-23,73.12,1.3937,26477615.0,92.515
2019-08-25,73.12,1.3937,26477615.0,100.056
