ticker,XLE US Equity,XLE US Equity,XLE US Equity,XLE US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-08-12,58.35,1.0864,21565665.0,80.394
2019-08-13,58.94,1.0901,14397726.0,80.394
2019-08-14,56.63,1.0951,23649726.0,80.394
2019-08-15,56.28,1.0486,14306088.0,80.394
2019-08-16,57.02,1.0378,21450306.0,80.394
2019-08-18,57.02,1.0378,21450306.0,88.371
2019-08-19,58.28,1.0765,13881866.0,88.371
2019-08-20,57.79,1.102,9521878.0,88.371
2019-08-21,58.16,1.0749,12037401.0,88.371
2019-08-22,57.9,1.0426,9353521.0,88.371
2019-08-23,55.96,1.0428,24409141.0,88.371
2019-08-25,55.96,1.0428,24409141.0,88.017
2019-08-26,56.2,1.0603,10806578.0,88.017
2019-08-27,55.85,1.081,11833743.0,88.017
2019-08-28,56.65,1.0924,15696538.0,88.017
2019-08-29,57.48,1.0897000000000001,12332306.0,88.017
2019-08-30,57.48,1.0849,13022340.0,88.017
2019-09-01,57.48,1.0849,13022340.0,89.467
2019-09-03,57.2,1.0716,13964802.0,89.467
2019-09-04,58.0,1.0957,11191118.0,89.467
2019-09-05,58.72,1.0862,14538515.0,89.467
2019-09-06,59.03,1.0706,12234331.0,89.467
2019-09-08,59.03,1.0706,12234331.0,89.611
2019-09-09,60.21,1.0414,24757225.0,89.611
2019-09-10,60.92,1.0247,25718030.0,89.611
2019-09-11,60.98,1.0425,22752016.0,89.611
2019-09-12,60.6,1.0784,19059516.0,89.611
2019-09-13,61.08,1.0813,14061580.0,89.611
2019-09-15,61.08,1.0813,14061580.0,92.962
2019-09-16,63.13,1.1123,30677809.0,92.962
2019-09-17,62.25,1.0265,26473181.0,92.962
2019-09-18,61.95,1.0342,11617589.0,92.962
2019-09-19,61.79,1.0502,14029442.0,92.962
2019-09-20,61.28,1.1485,20164618.0,92.962
2019-09-22,61.28,1.1485,20164618.0,88.132
2019-09-23,61.3,1.0726,9337060.0,88.132
2019-09-24,60.33,1.1639,20574893.0,88.132
2019-09-25,60.43,1.1792,10143268.0,88.132
2019-09-26,59.64,1.1842,14088335.0,88.132
2019-09-27,59.63,1.1736,15632625.0,88.132
2019-09-29,59.63,1.1736,15632625.0,89.706
2019-09-30,59.2,1.1597,19819471.0,89.706
2019-10-01,57.83,1.0874,16468129.0,89.706
2019-10-02,56.41,1.145,19280673.0,89.706
2019-10-03,57.02,1.1764999999999999,21186885.0,89.706
2019-10-04,57.38,1.1614,11061469.0,89.706
2019-10-06,57.38,1.1614,11061469.0,90.152
2019-10-07,56.87,1.163,12304397.0,90.152
2019-10-08,55.9,1.1948,20802273.0,90.152
2019-10-09,56.41,1.2128,8934940.0,90.152
2019-10-10,57.12,1.1974,10375027.0,90.152
2019-10-11,57.89,1.1991,24195751.0,90.152
2019-10-13,57.89,1.1991,24195751.0,88.07
2019-10-14,57.86,1.139,12166831.0,88.07
2019-10-15,58.1,1.1268,11267326.0,88.07
2019-10-16,57.29,1.1248,12005526.0,88.07
2019-10-17,57.33,1.1257,12289357.0,88.07
2019-10-18,57.03,1.1257,10278156.0,88.07
2019-10-20,57.03,1.1257,10278156.0,88.263
2019-10-21,58.05,1.0924,10503489.0,88.263
2019-10-22,58.8,1.1843,21108485.0,88.263
2019-10-23,59.29,1.1734,12213623.0,88.263
2019-10-24,59.04,1.1674,13205551.0,88.263
2019-10-25,59.52,1.1449,11874984.0,88.263
2019-10-27,59.52,1.1449,11874984.0,88.703
2019-10-28,59.18,1.1517,11756551.0,88.703
2019-10-29,59.42,1.3008,13468418.0,88.703
2019-10-30,58.21,1.3311,15506686.0,88.703
2019-10-31,57.96,1.3538999999999999,15032442.0,88.703
2019-11-01,59.28,1.4086,13310097.0,88.703
2019-11-03,59.28,1.4086,13310097.0,89.218
2019-11-04,61.21,1.4123,21530212.0,89.218
2019-11-05,61.29,1.431,17555060.0,89.218
2019-11-06,60.04,1.4457,17827895.0,89.218
2019-11-07,60.94,1.4512,13241711.0,89.218
2019-11-08,60.69,1.4328,10389848.0,89.218
2019-11-10,60.69,1.4328,10389848.0,84.05
2019-11-11,60.35,1.4264999999999999,14480473.0,84.05
2019-11-12,60.04,1.388,12541246.0,84.05
2019-11-13,59.78,1.3869,10793945.0,84.05
2019-11-14,59.62,1.3694,8116977.0,84.05
2019-11-15,60.08,1.3664,9183463.0,84.05
2019-11-17,60.08,1.3664,9183463.0,80.959
2019-11-18,59.35,1.4072,12754805.0,80.959
2019-11-19,58.47,1.3783,15380355.0,80.959
2019-11-20,59.06,1.3571,17147126.0,80.959
2019-11-21,60.03,1.3225,15641682.0,80.959
2019-11-22,59.83,1.3176,11491975.0,80.959
2019-11-24,59.83,1.3176,11491975.0,78.887
2019-11-25,59.89,1.2879,12338159.0,78.887
2019-11-26,59.34,1.3158,13403157.0,78.887
2019-11-27,59.49,1.3067,9668274.0,78.887
2019-11-29,58.89,1.3168,7830226.0,78.887
2019-12-01,58.89,1.3168,7830226.0,79.202
2019-12-02,58.89,1.3017,15390992.0,79.202
2019-12-03,58.01,1.332,17128314.0,79.202
2019-12-04,58.88,1.2904,17430420.0,79.202
2019-12-05,58.6,1.2873999999999999,10894161.0,79.202
2019-12-06,59.72,1.28,16729654.0,79.202
2019-12-08,59.72,1.28,16729654.0,75.32
2019-12-09,59.65,1.2973,8839059.0,75.32
2019-12-10,59.77,1.2810000000000001,8786138.0,75.32
2019-12-11,59.67,1.2904,12436340.0,75.32
2019-12-12,60.77,1.306,22492370.0,75.32
2019-12-13,60.31,1.2809,11372454.0,75.32
2019-12-15,60.31,1.2809,11372454.0,75.926
2019-12-16,61.12,1.3067,11136816.0,75.926
2019-12-17,61.16,1.3205,23154716.0,75.926
2019-12-18,61.39,1.343,12942045.0,75.926
2019-12-19,61.37,1.1723,12770101.0,75.926
2019-12-20,61.36,1.4222000000000001,17420045.0,75.926
2019-12-22,61.36,1.4222000000000001,17420045.0,77.182
2019-12-23,61.99,1.3578999999999999,13474589.0,77.182
2019-12-24,61.96,1.2936,5037439.0,77.182
2019-12-26,61.94,1.3048,10157173.0,77.182
2019-12-27,61.68,1.2945,10718840.0,77.182
2019-12-29,61.68,1.2945,10718840.0,74.286
2019-12-30,59.7,1.3571,14632973.0,74.286
2019-12-31,60.04,1.3072,10729021.0,74.286
