ticker,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-05-28,8.92,22.89,447.24,15.7659,1.5855000000000001,1.1047,4.67,6.3428
2019-05-29,8.94,22.89,444.45,15.6676,1.5756000000000001,1.0977999999999999,4.7,6.3826
2019-05-30,8.97,22.89,439.19,15.4822,1.557,1.0848,4.76,6.459
2019-05-31,9.0,22.89,432.1,15.2322,1.5318,1.0673,4.84,6.5649999999999995
2019-06-03,8.99,22.89,438.01,15.4406,1.5528,1.0819,4.77,6.4764
2019-06-04,9.02,22.89,445.06,15.6891,1.5777999999999999,1.0993,4.7,6.3739
2019-06-05,8.81,22.89,440.25,15.5195,1.5607,1.0874,4.75,6.4435
2019-06-06,8.83,22.89,447.85,15.7884,1.5877,1.1062,4.67,6.3338
2019-06-07,9.11,22.82,449.69,15.8533,1.5941999999999998,1.1108,4.65,6.3078
2019-06-10,9.09,22.89,451.19,15.9062,1.5995,1.1145,4.63,6.2869
2019-06-11,9.13,22.89,451.75,15.9259,1.6015000000000001,1.1158,4.63,6.2791
2019-06-12,9.14,22.89,445.26,15.6971,1.5785,1.0998,4.66,6.3706
2019-06-13,9.13,22.89,450.81,15.8928,1.5981999999999998,1.1135,4.6,6.2922
2019-06-14,11.83,22.89,447.48,15.7754,1.5864,1.1053,4.64,6.339
2019-06-17,5.13,22.89,451.55,15.9171,1.6008,1.1154,4.6,6.2825
2019-06-18,5.14,22.89,457.67,16.1329,1.6225,1.1305,4.54,6.1985
2019-06-19,5.11,22.89,456.65,16.0969,1.6189,1.1280000000000001,4.55,6.2124
2019-06-20,5.15,22.89,466.74,16.4529,1.6545999999999998,1.1529,4.45,6.0779
2019-06-21,5.17,22.89,470.57,16.5879,1.6682000000000001,1.1623,4.41,6.0285
2019-06-24,5.07,22.88,466.21,16.4441,1.6533,1.1538,4.45,6.0812
2019-06-25,5.05,22.88,462.36,16.3083,1.6396,1.1443,4.49,6.1318
2019-06-26,5.08,22.88,469.46,16.5587,1.6648,1.1618,4.42,6.0391
2019-06-27,5.07,22.88,465.73,16.4272,1.6516,1.1526,4.45,6.0875
2019-06-28,5.07,22.88,471.28,16.6229,1.6713,1.1663000000000001,4.4,6.0158
2019-07-01,5.05,22.96,471.74,17.2938,1.6813,1.1773,4.35,5.7824
2019-07-02,5.04,22.96,463.54,16.9932,1.6521,1.1568,4.42,5.8847000000000005
2019-07-03,5.04,22.96,466.33,17.0954,1.662,1.1638,4.4,5.8495
2019-07-04,5.04,22.96,466.33,17.0954,1.662,1.1638,4.4,5.8495
2019-07-05,4.62,22.96,466.84,17.1141,1.6638,1.165,4.39,5.8431
2019-07-08,4.06,22.96,467.3,17.131,1.6655,1.1662,4.39,5.8374
2019-07-09,4.06,22.96,467.7,17.1457,1.6669,1.1672,4.38,5.8324
2019-07-10,4.06,22.96,474.26,17.3862,1.6903000000000001,1.1836,4.32,5.7517
2019-07-11,4.05,22.96,475.13,17.418,1.6934,1.1857,4.31,5.7412
2019-07-12,4.5,22.96,476.89,17.4826,1.6996,1.1901,4.3,5.72
2019-07-15,4.48,22.96,472.47,17.3205,1.6839,1.1791,4.34,5.7735
2019-07-16,4.47,22.96,467.15,17.1255,1.6649,1.1658,4.39,5.8392
2019-07-17,4.2,22.96,461.79,16.929,1.6458,1.1524,4.44,5.907
2019-07-18,4.19,22.96,461.75,16.9275,1.6457000000000002,1.1522999999999999,4.44,5.9075
2019-07-19,4.2,22.96,464.01,17.0104,1.6537,1.158,4.42,5.8788
2019-07-22,4.2,22.96,466.07,17.0859,1.6611,1.1631,4.4,5.8528
2019-07-23,4.2,22.96,467.32,17.1317,1.6655,1.1662,4.39,5.8370999999999995
2019-07-24,4.21,22.96,469.21,17.201,1.6723,1.171,4.37,5.8136
2019-07-25,4.19,21.89,463.77,17.3171,1.6579000000000002,1.2075,4.37,5.7745999999999995
2019-07-26,5.0,22.96,461.46,16.9169,1.6446,1.1516,4.44,5.9112
2019-07-29,4.87,22.96,459.92,16.860500000000002,1.6392,1.1478,4.46,5.931
2019-07-30,4.9,22.96,464.95,17.0449,1.6571,1.1602999999999999,4.41,5.8669
2019-07-31,4.93,22.96,462.47,16.9539,1.6482,1.1541,4.43,5.8983
2019-08-01,4.9,22.96,451.93,16.5675,1.6107,1.1278,4.54,6.0359
2019-08-02,4.01,22.96,445.85,16.3447,1.589,1.1127,4.6,6.1182
2019-08-05,3.94,22.96,432.63,15.86,1.5419,1.0796999999999999,4.74,6.3052
2019-08-06,3.92,22.96,432.35,15.8497,1.5409000000000002,1.079,4.74,6.3092
2019-08-07,3.91,22.96,429.08,15.7299,1.5292,1.0708,4.78,6.3573
2019-08-08,3.86,22.96,441.49,16.1848,1.5735000000000001,1.1018,4.64,6.1786
2019-08-09,3.76,22.33,435.96,15.6564,1.5217,1.0704,4.91,6.3872
2019-08-12,3.75,22.33,429.79,15.4348,1.5002,1.0552,4.98,6.4789
2019-08-13,4.13,22.33,434.15,15.5914,1.5154,1.0659,4.93,6.4138
2019-08-14,4.11,22.33,416.27,14.9492,1.453,1.022,5.14,6.6893
2019-08-15,4.12,22.33,414.12,14.872,1.4455,1.0167,5.17,6.724
