ticker,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-03-25,8.52,30.98,1048.7,20.3437,4.2644,1.7875999999999999,5.2,4.9155
2019-03-26,8.44,30.98,1055.88,20.483,4.2936,1.7997999999999998,5.17,4.8821
2019-03-27,8.38,30.98,1047.3,20.3165,4.2587,1.7852000000000001,5.21,4.9221
2019-03-28,8.37,30.98,1050.07,20.3703,4.27,1.7899,5.2,4.9091000000000005
2019-03-29,8.4,30.96,1062.46,20.609,4.3145,1.8109,5.13,4.8522
2019-04-01,8.34,32.5,1064.24,20.096,4.2915,1.7604,4.86,4.9761
2019-04-02,8.34,32.5,1061.7,20.048,4.2812,1.7562,4.88,4.9879999999999995
2019-04-03,8.36,32.5,1060.41,20.0236,4.276,1.7541,4.88,4.9940999999999995
2019-04-04,8.35,32.5,1057.84,19.9751,4.2657,1.7499,4.89,5.0062
2019-04-05,8.36,32.5,1065.28,20.1156,4.2957,1.7622,4.86,4.9713
2019-04-08,8.52,32.5,1065.1,20.1122,4.2949,1.7619,4.86,4.9721
2019-04-09,8.52,32.5,1060.94,20.0337,4.2782,1.755,4.88,4.9916
2019-04-10,8.45,32.5,1062.35,20.0603,4.2838,1.7572999999999999,4.87,4.985
2019-04-11,8.46,32.5,1049.49,19.8174,4.232,1.736,4.93,5.0461
2019-04-12,8.44,32.5,1039.31,19.6252,4.1909,1.7191999999999998,4.98,5.0955
2019-04-15,8.42,32.5,1042.9,19.6946,4.2054,1.7256,4.96,5.0775
2019-04-16,8.43,32.5,1021.77,19.2958,4.1202,1.6905999999999999,5.07,5.1825
2019-04-17,8.23,32.5,992.27,18.7387,4.0013,1.6418,5.22,5.3366
2019-04-18,8.26,32.5,993.64,18.764499999999998,4.0068,1.6441,5.21,5.3292
2019-04-19,8.26,32.5,993.64,18.764499999999998,4.0068,1.6441,5.21,5.3292
2019-04-22,8.27,32.5,994.29,18.8006,4.0094,1.6452,5.22,5.319
2019-04-23,8.27,32.5,1010.16,19.1045,4.0734,1.6714,5.14,5.2344
2019-04-24,8.27,32.5,1008.77,19.0782,4.0678,1.6691,5.14,5.2416
2019-04-25,8.27,32.5,1020.19,19.2942,4.1138,1.688,5.09,5.1829
2019-04-26,8.27,32.5,1030.02,19.4629,4.1521,1.7042000000000002,5.07,5.138
2019-04-29,8.24,32.5,1027.85,19.4219,4.1434,1.7006000000000001,5.09,5.1488
2019-04-30,8.25,32.49,1033.35,19.5257,4.1645,1.7097,5.06,5.1215
2019-05-01,8.27,32.49,1030.29,19.4678,4.1522,1.7046000000000001,5.08,5.1367
2019-05-02,8.31,32.49,1035.19,19.5605,4.1719,1.7127,5.05,5.1123
2019-05-03,8.31,32.49,1043.06,19.7092,4.2036,1.7257,4.98,5.0738
2019-05-06,8.29,32.49,1049.13,19.8187,4.2281,1.736,5.03,5.0457
2019-05-07,8.29,32.49,1028.7,19.4328,4.1458,1.7022,5.13,5.1459
2019-05-08,8.24,32.49,1029.92,19.4866,4.1507,1.7046999999999999,5.13,5.1317
2019-05-09,8.17,32.49,1027.78,19.4461,4.142,1.7012,5.14,5.1424
2019-05-10,8.16,32.49,1027.08,19.433,4.1392,1.7,5.14,5.1459
2019-05-13,8.16,32.49,1009.16,19.094,4.067,1.6703999999999999,5.23,5.2373
2019-05-14,8.17,32.49,1013.28,19.1719,4.0836,1.6772,5.21,5.216
2019-05-15,8.16,32.49,1016.01,19.2236,4.0946,1.6817,5.2,5.2019
2019-05-16,7.97,32.49,1023.65,19.3681,4.1254,1.6943000000000001,5.16,5.1631
2019-05-17,7.98,32.49,1021.94,19.3358,4.1185,1.6915,5.17,5.1718
2019-05-20,7.98,32.49,1021.56,19.3304,4.1164,1.6909999999999998,5.17,5.1732
2019-05-21,8.02,32.5,1029.96,19.4894,4.1503,1.7048999999999999,5.13,5.131
2019-05-22,8.02,32.5,1036.5,19.6131,4.1766,1.7158,5.1,5.0986
2019-05-23,8.04,32.5,1032.68,19.5408,4.1612,1.7094,5.11,5.1175
2019-05-24,8.06,32.5,1033.95,19.5649,4.1663,1.7115,5.11,5.1112
2019-05-27,8.06,32.5,1033.95,19.5649,4.1663,1.7115,5.11,5.1112
2019-05-28,8.06,32.5,1019.38,19.2892,4.1076,1.6874,5.2,5.1843
2019-05-29,8.07,32.5,1009.65,19.105,4.0684,1.6713,5.25,5.2342
2019-05-30,8.09,32.5,1014.93,19.2049,4.0897,1.6800000000000002,5.22,5.207
2019-05-31,8.09,32.5,1007.0,19.0549,4.0577,1.6669,5.26,5.248
2019-06-03,8.15,32.5,1010.07,19.1126,4.0701,1.6720000000000002,5.26,5.2321
2019-06-04,8.15,32.5,1027.09,19.4336,4.1387,1.7002000000000002,5.17,5.1457
2019-06-05,8.12,32.5,1034.02,19.5647,4.1666,1.7116,5.13,5.1112
2019-06-06,8.11,32.5,1037.29,19.6264,4.1798,1.7170999999999998,5.12,5.0952
2019-06-07,8.17,32.47,1050.52,19.8767,4.2331,1.7389999999999999,5.05,5.031
2019-06-10,8.17,32.5,1053.79,19.9354,4.2463,1.7444,5.02,5.0162
2019-06-11,8.16,32.5,1051.17,19.8684,4.2357,1.74,5.03,5.0331
2019-06-12,8.15,32.5,1056.56,19.9702,4.2575,1.749,5.01,5.0075
2019-06-13,8.15,32.5,1055.35,19.9768,4.2526,1.7469999999999999,5.01,5.0058
2019-06-14,8.15,32.5,1052.28,19.9187,4.2402,1.7419,5.0,5.0204
2019-06-17,8.16,32.5,1057.19,20.0129,4.26,1.75,4.98,4.9968
2019-06-18,8.17,32.5,1065.9,20.1778,4.2951,1.7644,4.9399999999999995,4.9559
2019-06-19,8.18,32.19,1076.1,20.3852,4.305,1.7889,4.9,4.9055
2019-06-20,8.19,32.5,1080.43,20.4673,4.3536,1.7961,4.88,4.8859
2019-06-21,8.23,32.5,1085.15,20.5567,4.3727,1.804,4.86,4.8646
2019-06-24,8.22,32.51,1079.74,20.4653,4.3532,1.7969,4.88,4.8863
2019-06-25,8.18,32.51,1075.31,20.3814,4.3353,1.7894999999999999,4.9,4.9064
2019-06-26,8.15,32.51,1061.9,20.1272,4.2812,1.7671999999999999,4.96,4.9684
2019-06-27,8.14,32.51,1068.53,20.2528,4.308,1.7782,4.93,4.9376
2019-06-28,8.14,32.53,1072.47,20.3231,4.321,1.7846,4.91,4.9205
2019-07-01,8.13,32.83,1078.6,19.9553,4.2503,1.7396,5.17,5.0112
2019-07-02,8.19,32.83,1083.21,20.0406,4.2685,1.7469999999999999,5.15,4.9899000000000004
2019-07-03,8.19,32.83,1093.05,20.2226,4.3073,1.7629000000000001,5.1,4.945
2019-07-04,8.19,32.83,1093.05,20.2226,4.3073,1.7629000000000001,5.1,4.945
2019-07-05,8.25,32.83,1085.09,20.0754,4.2759,1.7501,5.14,4.9812
2019-07-08,8.25,32.83,1077.01,19.9259,4.2441,1.737,5.18,5.0186
2019-07-09,8.19,32.83,1078.19,19.9477,4.2487,1.7389000000000001,5.17,5.0131
2019-07-10,8.23,32.83,1082.1,20.02,4.2641,1.7452999999999999,5.15,4.995
2019-07-11,8.25,32.83,1082.31,20.0239,4.2649,1.7456,5.15,4.994
2019-07-12,8.22,32.83,1069.57,19.7882,4.2147,1.725,5.21,5.0535
2019-07-15,8.17,32.83,1071.79,19.8293,4.2235,1.7286000000000001,5.2,5.043
2019-07-16,8.2,32.83,1066.4,19.7296,4.2022,1.7199,5.23,5.0685
2019-07-17,8.2,32.83,1066.6,19.7333,4.203,1.7203,5.23,5.0676
2019-07-18,8.2,32.83,1072.41,19.8408,4.2259,1.7296,5.2,5.0401
2019-07-19,8.22,32.83,1061.01,19.6298,4.181,1.7112,5.25,5.0943
2019-07-22,8.23,32.83,1059.4,19.6001,4.1747,1.7086000000000001,5.26,5.102
2019-07-23,8.24,32.83,1065.93,19.7209,4.2004,1.7191999999999998,5.23,5.0708
2019-07-24,8.2,32.83,1066.28,19.7273,4.2018,1.7197,5.23,5.0691
2019-07-25,8.16,32.83,1060.39,19.6184,4.1786,1.7102,5.26,5.0973
2019-07-26,8.16,32.89,1064.81,19.6869,4.1946,1.7172,5.23,5.0795
2019-07-29,8.17,32.89,1069.15,19.7671,4.2117,1.7242,5.21,5.0589
2019-07-30,7.88,32.89,1064.57,19.6825,4.1937,1.7168,5.23,5.0807
2019-07-31,7.93,32.89,1054.04,19.4884,4.1532,1.6997,5.28,5.1312
2019-08-01,7.95,32.89,1055.1,19.508,4.1574,1.7015,5.28,5.1261
2019-08-02,7.73,32.89,1052.76,19.4648,4.1481,1.6977,5.29,5.1375
