ticker,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-05-10,6.99,38.2,588.24,20.0267,5.5546,1.486,4.41,4.9933
2019-05-13,7.0,38.17,583.37,19.8131,5.5182,1.4716,4.44,5.0472
2019-05-14,6.65,38.17,585.54,19.8868,5.5387,1.4769999999999999,4.42,5.0285
2019-05-15,6.65,38.17,590.2,20.045,5.5828,1.4888,4.39,4.9888
2019-05-16,6.6899999999999995,38.17,594.62,20.2161,5.6246,1.4999,4.36,4.9466
2019-05-17,6.78,38.17,593.5,20.1525,5.614,1.4971,4.37,4.9622
2019-05-20,6.77,38.17,592.18,20.1076,5.6016,1.4938,4.37,4.9732
2019-05-21,6.79,38.17,590.35,20.0455,5.5842,1.4892,4.39,4.9887
2019-05-22,6.8,38.17,593.6,20.1559,5.615,1.4974,4.36,4.9613
2019-05-23,6.8,38.17,593.21,20.1426,5.6113,1.4964,4.37,4.9646
2019-05-24,6.78,38.17,590.84,20.0621,5.5889,1.4904,4.38,4.9845
2019-05-27,9.19,38.37,590.84,20.0621,5.5889,1.4904,4.38,4.9845
2019-05-28,9.07,38.37,580.27,19.7049,5.484,1.4615,4.48,5.0749
2019-05-29,8.93,38.37,576.17,19.5656,5.4452,1.4512,4.51,5.111
2019-05-30,8.83,38.37,578.06,19.6298,5.4631,1.456,4.5,5.0943
2019-05-31,8.91,38.41,569.93,19.3821,5.3958,1.4321,4.55,5.1594
2019-06-03,8.94,38.41,577.48,19.6389,5.4673,1.4511,4.49,5.0919
2019-06-04,9.02,38.41,581.98,19.7919,5.5099,1.4624,4.46,5.0526
2019-06-05,8.95,38.41,588.49,20.0133,5.5715,1.4788000000000001,4.41,4.9967
2019-06-06,9.08,38.41,593.26,20.1755,5.6167,1.4908000000000001,4.37,4.9565
2019-06-07,9.05,38.41,599.31,20.3813,5.674,1.506,4.33,4.9065
2019-06-10,8.84,38.41,599.32,20.3852,5.6741,1.5064,4.33,4.9055
2019-06-11,8.84,38.41,601.76,20.4682,5.6972000000000005,1.5125,4.31,4.8856
2019-06-12,8.84,38.41,602.01,20.4767,5.6995000000000005,1.5131000000000001,4.41,4.8836
2019-06-13,8.86,38.41,602.65,20.4985,5.7056000000000004,1.5147,4.3,4.8784
2019-06-14,8.83,38.41,602.85,20.5053,5.7075,1.5152999999999999,4.3,4.8768
2019-06-17,8.82,38.38,601.58,20.4712,5.6991,1.5114,4.27,4.8849
2019-06-18,8.79,38.38,598.13,20.3538,5.6664,1.5027,4.29,4.9131
2019-06-19,8.75,38.38,600.58,20.4371,5.6896,1.5089000000000001,4.28,4.8931000000000004
2019-06-20,8.72,38.38,605.44,20.6025,5.7357,1.5211000000000001,4.24,4.8538
2019-06-21,8.76,38.38,603.48,20.5542,5.7171,1.5159,4.26,4.8652
2019-06-24,8.85,38.41,605.09,20.6202,5.7387,1.5252,4.24,4.8496
2019-06-25,8.53,38.41,604.77,20.6093,5.7356,1.5244,4.24,4.8522
2019-06-26,8.52,38.41,596.4,20.3279,5.6563,1.5032999999999999,4.3,4.9193
2019-06-27,8.49,38.41,596.93,20.3448,5.6613,1.5047000000000001,4.3,4.9153
2019-06-28,8.53,38.37,597.34,20.3344,5.6584,1.5051,4.38,4.9178
2019-07-01,8.47,38.47,600.1,20.3805,5.8154,1.5093,4.11,4.9066
2019-07-02,8.44,38.47,605.19,20.5534,5.8648,1.5221,4.08,4.8654
2019-07-03,8.57,38.47,613.4,20.8322,5.9443,1.5428,4.02,4.8003
2019-07-04,8.57,38.47,613.4,20.8322,5.9443,1.5428,4.02,4.8003
2019-07-05,8.54,38.47,610.37,20.7293,5.915,1.5351,4.04,4.8241
2019-07-08,8.5,38.47,611.41,20.7646,5.9251000000000005,1.5377,4.04,4.8159
2019-07-09,8.46,38.47,607.84,20.6434,5.8905,1.5288,4.06,4.8442
2019-07-10,8.46,38.47,612.31,20.7952,5.9338,1.54,4.03,4.8088
2019-07-11,8.41,38.47,613.83,20.8468,5.9485,1.5438,4.02,4.7969
