ticker,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-04-29,14.0,46.46,954.0602,24.5193,8.2193,1.7719,4.28,4.0784
2019-04-30,13.97,46.45,952.1447,24.5276,8.1814,1.7683,4.27,4.077
2019-05-01,13.93,46.45,941.3723,24.2501,8.0889,1.7483,4.32,4.1237
2019-05-02,13.9,46.45,941.1263,24.2438,8.0868,1.7478,4.32,4.1248
2019-05-03,13.99,46.87,954.284,24.5706,8.205,1.7701,4.22,4.0699
2019-05-06,14.1,48.71,948.2101,24.367,8.1595,1.7504,4.22,4.1039
2019-05-07,13.96,48.71,934.3905,24.0119,8.0406,1.7248999999999999,4.28,4.1646
2019-05-08,13.91,48.71,933.7714,23.996,8.0353,1.7238,4.28,4.1674
2019-05-09,13.88,48.71,929.7848,23.8824,8.001,1.7162,4.3,4.1872
2019-05-10,14.12,48.71,930.2021,23.9205,8.0046,1.7176,4.3,4.1805
2019-05-13,14.06,48.71,902.7904,23.2158,7.7687,1.667,4.43,4.3074
2019-05-14,13.91,48.71,910.6714,23.4185,7.8365,1.6815,4.39,4.2701
2019-05-15,13.97,48.71,917.7783,23.6012,7.8977,1.6947,4.36,4.2371
2019-05-16,14.02,48.71,926.9937,23.8382,7.977,1.7117,4.31,4.1949
2019-05-17,13.95,48.71,919.5553,23.6469,7.913,1.6979,4.35,4.2289
2019-05-20,13.95,48.71,913.1686,23.4745,7.858,1.6862,4.38,4.2599
2019-05-21,13.94,48.71,918.3741,23.6083,7.9028,1.6958,4.35,4.2358
2019-05-22,13.96,48.71,910.0981,23.4401,7.8316,1.6804999999999999,4.39,4.2661999999999995
2019-05-23,13.85,48.65,897.9248,23.082,7.6948,1.6555,4.46,4.3324
2019-05-24,13.83,48.71,899.1685,23.1354,7.7317,1.6591,4.45,4.3224
2019-05-27,13.83,48.7,899.1685,23.1354,7.7317,1.6591,4.45,4.3224
2019-05-28,13.89,48.7,894.7742,23.013,7.6921,1.6508,4.47,4.3454
2019-05-29,13.92,48.7,886.8569,22.8094,7.624,1.6362,4.51,4.3842
2019-05-30,13.86,48.7,891.3416,22.9214,7.6626,1.6444999999999999,4.5,4.3627
2019-05-31,13.66,48.66,878.5389,22.5746,7.5393,1.6187,4.57,4.4298
2019-06-03,13.49,48.66,868.2071,22.3091,7.4506,1.5997,4.62,4.4825
2019-06-04,13.49,48.66,891.0811,22.8968,7.6469000000000005,1.6418,4.5,4.3674
2019-06-05,13.49,48.66,894.9681,22.998,7.6803,1.649,4.48,4.3482
2019-06-06,13.5,48.66,899.4029,23.112,7.7183,1.6572,4.46,4.3268
2019-06-07,13.54,48.61,913.6,23.3757,7.8411,1.6859,4.4,4.2780000000000005
2019-06-10,13.61,48.61,923.2283,23.622,7.9237,1.7037,4.36,4.2333
2019-06-11,13.6,48.61,926.3152,23.701,7.9502,1.7094,4.34,4.2192
2019-06-12,13.63,48.61,925.3226,23.6756,7.9417,1.7076,4.35,4.2238
2019-06-13,13.63,48.61,933.625,23.8878,8.0129,1.7229,4.31,4.1862
2019-06-14,13.6,48.61,935.8882,23.9457,8.0323,1.7271,4.3,4.1761
2019-06-17,13.62,48.61,936.8332,23.9699,8.0405,1.7288000000000001,4.29,4.1719
2019-06-18,13.63,48.61,943.8369,24.1491,8.1006,1.7417,4.26,4.1409
2019-06-19,13.59,48.61,946.0938,24.2068,8.1199,1.7459,4.25,4.1311
2019-06-20,13.56,48.61,952.2905,24.3625,8.1731,1.7572999999999999,4.22,4.1047
2019-06-21,13.54,48.61,948.8367,24.2611,8.1435,1.751,4.24,4.1218
2019-06-24,13.63,48.6,943.9797,24.1705,8.0603,1.7398,4.25,4.1373
2019-06-25,13.61,48.6,933.8529,23.9112,7.9739,1.7212,4.3,4.1821
2019-06-26,13.62,48.6,937.7034,24.0098,8.0068,1.7283,4.28,4.165
2019-06-27,13.63,48.6,943.2422,24.1516,8.054,1.7385000000000002,4.26,4.1405
2019-06-28,13.63,48.6,945.5783,24.2114,8.074,1.7428,4.25,4.1303
2019-07-01,13.64,48.51,953.8373,24.1708,8.0335,1.741,4.51,4.1372
