ticker,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-03-01,6.9,28.36,343.5,15.9129,2.2078,1.5840999999999998,4.57,6.2842
2019-03-04,6.87,28.34,345.03,15.9295,2.2144,1.5897999999999999,4.55,6.2777
2019-03-05,6.88,28.36,343.29,15.8534,2.2009,1.5782,4.59,6.3078
2019-03-06,6.89,28.36,343.96,15.8784,2.2052,1.5807,4.58,6.2979
2019-03-07,6.89,28.36,340.9,15.7397,2.1856,1.5669,4.62,6.3534
2019-03-08,6.92,28.36,341.6,15.7448,2.1901,1.5674000000000001,4.62,6.3513
2019-03-11,6.76,28.36,346.43,15.977,2.2211,1.5905,4.55,6.259
2019-03-12,6.76,28.36,347.59,16.0227,2.2285,1.595,4.54,6.2411
2019-03-13,6.76,28.36,349.42,16.0879,2.2402,1.6015000000000001,4.52,6.2159
2019-03-14,6.78,28.36,346.65,15.9405,2.2225,1.5868,4.5600000000000005,6.2733
2019-03-15,6.8100000000000005,28.36,347.35,15.9418,2.227,1.587,4.5600000000000005,6.2728
2019-03-18,6.82,28.36,347.89,16.0321,2.2293,1.596,4.53,6.2375
2019-03-19,6.82,28.36,347.38,16.0205,2.2261,1.5948,4.54,6.242
2019-03-20,6.98,28.36,347.21,15.9602,2.225,1.5888,4.55,6.2656
2019-03-21,6.97,28.36,350.83,16.1831,2.2482,1.611,4.49,6.1793
2019-03-22,6.96,28.36,340.33,15.6987,2.1809,1.5628,4.63,6.37
2019-03-25,6.98,28.36,339.78,15.6664,2.1774,1.5596,4.64,6.3831
2019-03-26,7.01,28.36,341.72,15.7556,2.1898,1.5684,4.61,6.3469
2019-03-27,6.99,28.36,341.42,15.7644,2.1879,1.5693000000000001,4.61,6.3434
2019-03-28,7.01,28.36,344.67,15.8708,2.2087,1.5798999999999999,4.58,6.3009
2019-03-29,7.01,28.36,347.27,15.9752,2.2253,1.5903,4.55,6.2597
2019-04-01,6.98,29.5,352.48,16.9263,2.7531,1.6942,4.68,5.908
2019-04-02,8.34,29.5,353.9,15.5538,2.58,1.4719,5.72,6.4293
2019-04-03,8.33,29.5,358.6,15.7604,2.6147,1.4879,5.66,6.345
2019-04-04,7.91,29.5,362.21,15.919,2.6336,1.5039,5.6,6.2818
2019-04-05,7.85,29.5,362.03,15.9111,2.6403,1.5019,5.6,6.2849
2019-04-08,7.05,29.5,362.21,15.919,2.642,1.5025,5.6,6.2818
2019-04-09,7.9399999999999995,29.5,359.38,15.7947,2.6228,1.4915,5.64,6.3312
2019-04-10,7.97,29.5,359.27,15.7853,2.6238,1.494,5.67,6.335
2019-04-11,7.98,29.5,359.06,15.7761,2.6248,1.4947,5.66,6.3387
2019-04-12,7.92,29.5,363.77,16.0121,2.6504,1.5169000000000001,5.55,6.2453
2019-04-15,7.93,29.5,362.09,15.9381,2.6390000000000002,1.509,5.58,6.2743
2019-04-16,7.98,29.5,363.8,15.9933,2.648,1.5154,5.55,6.2526
2019-04-17,8.0,29.5,361.59,15.8927,2.6313,1.5059,5.42,6.2922
2019-04-18,7.95,29.34,362.0,16.0083,2.615,1.5178,5.43,6.2468
2019-04-19,7.95,29.34,362.0,16.0083,2.615,1.5178,5.43,6.2468
2019-04-22,7.93,29.34,359.56,17.6138,2.5957,1.6634,5.1,5.6774000000000004
2019-04-23,7.89,29.34,361.14,17.6912,2.6087,1.6707,5.08,5.6525
2019-04-24,7.62,29.34,359.1,17.5913,2.5983,1.6613,5.11,5.6846
2019-04-25,7.54,29.34,354.45,17.3635,2.5644,1.6398000000000001,5.18,5.7592
2019-04-26,7.6,29.34,357.37,17.5065,2.5872,1.6533,5.14,5.7120999999999995
2019-04-29,7.55,29.34,356.71,17.4742,2.5813,1.6502,5.15,5.7227
2019-04-30,7.52,29.34,359.84,17.6275,2.6016,1.6646999999999998,5.1,5.6729
2019-05-01,7.54,29.34,353.23,17.3037,2.5524,1.6341,5.2,5.7791
2019-05-02,7.52,29.34,351.31,17.2097,2.5484999999999998,1.6252,5.22,5.8107
2019-05-03,7.48,29.34,354.79,17.3802,2.5735,1.6413,5.17,5.7537
2019-05-06,7.48,29.34,349.89,17.1401,2.5351,1.6187,5.25,5.8343
2019-05-07,7.38,29.34,343.52,17.2997,2.4875,1.6487,5.35,5.7804
2019-05-08,7.4,29.34,343.17,17.2821,2.4863,1.647,5.35,5.7863
2019-05-09,7.36,29.34,340.41,17.1324,2.4635,1.6337000000000002,5.4,5.8369
2019-05-10,7.41,29.34,344.74,17.3503,2.4965,1.6545,5.33,5.7636
2019-05-13,7.3,29.34,337.24,16.973,2.4453,1.6185,5.45,5.8917
2019-05-14,7.24,29.34,339.99,17.1114,2.4617,1.6317,5.4,5.8441
2019-05-15,7.24,29.34,339.18,17.0706,2.4539,1.6278000000000001,5.41,5.858
2019-05-16,7.28,29.34,343.72,17.2991,2.4889,1.6496,5.34,5.7806
2019-05-17,7.34,29.34,342.01,17.213,2.4827,1.6414,5.37,5.8096
2019-05-20,7.34,28.41,337.02,16.4274,2.0202,1.5586,5.45,6.0874
2019-05-21,7.33,28.41,342.11,16.6755,2.0513,1.5821,5.37,5.9968
