ticker,XLV US Equity,XLV US Equity,XLV US Equity,XLV US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-04-16,88.32,1.3913,14857099.0,80.239
2019-04-17,85.78,1.4512,34381753.0,80.239
2019-04-18,85.92,1.7076,35300882.0,80.239
2019-04-21,85.92,1.7076,35300882.0,78.04
2019-04-22,85.97,1.5234,18717732.0,78.04
2019-04-23,87.33,1.7023000000000001,30503353.0,78.04
2019-04-24,87.23,1.5051,14612816.0,78.04
2019-04-25,88.13,1.6137000000000001,16166445.0,78.04
2019-04-26,89.01,1.3854,11322007.0,78.04
2019-04-28,89.01,1.3854,11322007.0,79.958
2019-04-29,88.85,1.3719000000000001,13264357.0,79.958
2019-04-30,89.26,1.3378999999999999,11750852.0,79.958
2019-05-01,89.1,1.3757,25596449.0,79.958
2019-05-02,89.48,1.3824,18927530.0,79.958
2019-05-03,90.16,1.3692,13623977.0,79.958
2019-05-05,90.16,1.3692,13623977.0,82.209
2019-05-06,90.62,1.4723,25168305.0,82.209
2019-05-07,88.88,1.4914,18011732.0,82.209
2019-05-08,89.07,1.4956,13783307.0,82.209
2019-05-09,88.88,1.4978,15692261.0,82.209
2019-05-10,88.91,1.5124,17771753.0,82.209
2019-05-12,88.91,1.5124,17771753.0,79.87
2019-05-13,87.24,1.5373999999999999,17436308.0,79.87
2019-05-14,87.68,1.4942,13147143.0,79.87
2019-05-15,87.94,1.4788000000000001,10587732.0,79.87
2019-05-16,88.63,1.4955,15123987.0,79.87
2019-05-17,88.44,1.5367,13354085.0,79.87
2019-05-19,88.44,1.5367,13354085.0,83.141
2019-05-20,88.4,1.5817,10757386.0,83.141
2019-05-21,89.23,1.2125,11690593.0,83.141
2019-05-22,89.74,1.2972000000000001,9021899.0,83.141
2019-05-23,89.43,1.2789,13545414.0,83.141
2019-05-24,89.56,1.3941,9986447.0,83.141
2019-05-26,89.56,1.3941,9986447.0,85.93
2019-05-28,88.28,1.4771,20795950.0,85.93
2019-05-29,87.43,1.4323000000000001,16302651.0,85.93
2019-05-30,87.91,1.4594,12457685.0,85.93
2019-05-31,87.28,1.4257,10712975.0,85.93
2019-06-02,87.28,1.4257,10712975.0,88.7
2019-06-03,87.49,1.3414,19370992.0,88.7
2019-06-04,88.94,1.383,15837154.0,88.7
2019-06-05,89.61,1.3961999999999999,24291851.0,88.7
2019-06-06,90.07,1.3888,18840935.0,88.7
2019-06-07,91.01,1.3937,9302690.0,88.7
2019-06-09,91.01,1.3937,9302690.0,86.887
2019-06-10,91.28,1.464,8552839.0,86.887
2019-06-11,91.13,1.3806,8317911.0,86.887
2019-06-12,91.57,1.4093,5799156.0,86.887
2019-06-13,91.46,1.3476,9031760.0,86.887
2019-06-14,91.25,1.3485,5056271.0,86.887
2019-06-16,91.25,1.3485,5056271.0,87.591
2019-06-17,91.66,1.3949,4861481.0,87.591
2019-06-18,92.44,1.4171,7979937.0,87.591
2019-06-19,93.27,1.4213,6988099.0,87.591
