ticker,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-03-20,53.77,18.43,434.4,12.9646,1.4163999999999999,2.2648,11.27,7.7133
2019-03-21,57.03,18.43,433.09,12.9255,1.4121000000000001,2.258,11.3,7.7366
2019-03-22,59.34,18.42,421.09,12.5633,1.3726,2.1957,11.63,7.9597
2019-03-25,58.18,18.42,419.44,12.5141,1.3672,2.1871,11.67,7.991
2019-03-26,56.41,18.42,424.19,12.6557,1.3827,2.2118,11.54,7.9016
2019-03-27,55.53,18.42,422.33,12.6001,1.3766,2.2021,11.59,7.9364
2019-03-28,54.74,18.42,425.83,12.7046,1.388,2.2204,11.5,7.8712
2019-03-29,54.08,18.42,427.19,12.7453,1.3925,2.2275,11.46,7.8461
2019-04-01,53.32,19.3,437.53,12.7285,1.3719999999999999,2.2032,6.16,7.8564
2019-04-02,51.89,19.28,437.48,12.6463,1.3562,2.1898,6.2,7.9074
2019-04-03,51.1,19.46,438.87,12.705,1.3675,2.206,6.09,7.8709
2019-04-04,51.06,19.47,441.01,12.8472,1.3900000000000001,2.2298,6.03,7.7838
2019-04-05,50.65,19.47,441.4,12.8584,1.3912,2.2317,6.02,7.777
2019-04-08,50.19,19.47,442.06,12.8776,1.3933,2.2351,6.01,7.7654
2019-04-09,47.46,19.47,438.18,12.7647,1.3811,2.2155,6.06,7.8341
2019-04-10,44.59,19.47,439.65,12.8074,1.3857,2.2229,6.05,7.808
2019-04-11,45.52,19.47,442.11,12.8798,1.3935,2.2354,5.98,7.7641
2019-04-12,43.88,19.47,450.63,13.1278,1.4203000000000001,2.2784,5.7,7.6174
2019-04-15,43.0,19.47,447.81,13.0454,1.4114,2.2641999999999998,5.9,7.6655
2019-04-16,42.77,19.47,453.93,13.2241,1.4307,2.2952,5.82,7.5619
2019-04-17,41.11,19.47,454.76,13.2481,1.4333,2.2994,5.8100000000000005,7.5482
2019-04-18,40.08,19.47,453.66,13.2161,1.4299,2.2938,5.83,7.5665
2019-04-19,40.08,19.47,453.66,13.2161,1.4299,2.2938,5.83,7.5665
