ticker,XLF US Equity,XLF US Equity,XLF US Equity,XLF US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-04-25,27.45,1.5053999999999998,44532302.0,72.178
2019-04-26,27.7,1.6122999999999998,41527922.0,72.178
2019-04-28,27.7,1.6122999999999998,41527922.0,72.547
2019-04-29,27.98,1.6549,61643171.0,72.547
2019-04-30,28.02,1.5657999999999999,38800267.0,72.547
2019-05-01,27.79,1.6069,67969522.0,72.547
2019-05-02,27.82,1.6347,50972887.0,72.547
2019-05-03,28.07,1.6402,34598895.0,72.547
2019-05-05,28.07,1.6402,34598895.0,69.107
2019-05-06,27.88,1.7149,42517377.0,69.107
2019-05-07,27.42,1.6409,60090811.0,69.107
2019-05-08,27.36,1.7477,44254544.0,69.107
2019-05-09,27.3,1.7781,56468339.0,69.107
2019-05-10,27.48,1.7730000000000001,63453824.0,69.107
2019-05-12,27.48,1.7730000000000001,63453824.0,72.217
2019-05-13,26.68,1.7802,54962540.0,72.217
2019-05-14,26.89,1.8041,52398357.0,72.217
2019-05-15,26.79,1.8186,49061697.0,72.217
2019-05-16,27.06,1.9862,44872608.0,72.217
2019-05-17,26.88,2.0366,62711461.0,72.217
2019-05-19,26.88,2.0366,62711461.0,73.05
2019-05-20,26.91,2.1114,44357439.0,73.05
2019-05-21,27.19,2.2736,36851389.0,73.05
2019-05-22,27.03,2.2464,25867584.0,73.05
2019-05-23,26.65,2.2121,51832904.0,73.05
2019-05-24,26.86,2.161,30582000.0,73.05
2019-05-26,26.86,2.161,30582000.0,74.064
2019-05-28,26.55,2.173,35177714.0,74.064
2019-05-29,26.5,2.251,39700572.0,74.064
2019-05-30,26.41,2.5848,40641219.0,74.064
2019-05-31,26.01,2.6165000000000003,49259252.0,74.064
2019-06-02,26.01,2.6165000000000003,49259252.0,74.85
2019-06-03,26.18,2.5544000000000002,63329348.0,74.85
2019-06-04,26.89,2.6809,45454397.0,74.85
2019-06-05,27.06,2.665,46599718.0,74.85
2019-06-06,27.16,2.656,37297602.0,74.85
2019-06-07,27.12,2.6324,33054778.0,74.85
2019-06-09,27.12,2.6324,33054778.0,75.359
2019-06-10,27.35,2.6889,37081389.0,75.359
2019-06-11,27.36,2.6709,34273450.0,75.359
2019-06-12,27.09,2.6266,36866039.0,75.359
2019-06-13,27.18,2.6142,31020047.0,75.359
2019-06-14,27.24,2.6385,29724061.0,75.359
2019-06-16,27.24,2.6385,29724061.0,74.095
2019-06-17,26.99,2.6731,40981591.0,74.095
2019-06-18,27.35,2.6795,46237423.0,74.095
2019-06-19,27.3,2.6097,58118501.0,74.095
2019-06-20,27.42,2.5747,50584217.0,74.095
2019-06-21,27.22,2.8382,65322286.0,74.095
2019-06-23,27.22,2.8382,65322286.0,75.009
2019-06-24,27.11,2.8430999999999997,48378025.0,75.009
2019-06-25,27.02,2.794,47748490.0,75.009
2019-06-26,26.97,2.7601,31448023.0,75.009
2019-06-27,27.21,2.7719,59459807.0,75.009
2019-06-28,27.6,2.7134,76728103.0,75.009
2019-06-30,27.6,2.7134,76728103.0,73.953
2019-07-01,27.93,2.7793,49295076.0,73.953
2019-07-02,27.86,2.9378,56626803.0,73.953
2019-07-03,28.08,2.7375,23706812.0,73.953
2019-07-05,28.16,2.7237,40683108.0,73.953
2019-07-07,28.16,2.7237,40683108.0,73.246
2019-07-08,28.02,2.8013,26286734.0,73.246
2019-07-09,28.07,2.6996,25895770.0,73.246
2019-07-10,27.97,2.6470000000000002,36566724.0,73.246
2019-07-11,28.13,2.8181000000000003,40907527.0,73.246
2019-07-12,28.32,2.682,31109913.0,73.246
2019-07-14,28.32,2.682,31109913.0,74.303
2019-07-15,28.16,2.7034000000000002,28346133.0,74.303
2019-07-16,28.09,2.5332,47288109.0,74.303
2019-07-17,27.85,2.4907,35062571.0,74.303
2019-07-18,28.06,2.4309,46385357.0,74.303
2019-07-19,27.94,2.437,29338522.0,74.303
2019-07-21,27.94,2.437,29338522.0,70.949
2019-07-22,28.0,2.5377,26683328.0,70.949
2019-07-23,28.29,2.3495,45307569.0,70.949
2019-07-24,28.58,2.219,36374227.0,70.949
2019-07-25,28.38,2.1946,34180350.0,70.949
2019-07-26,28.69,2.2412,33642786.0,70.949
2019-07-28,28.69,2.2412,33642786.0,69.723
2019-07-29,28.47,2.2972,35955119.0,69.723
2019-07-30,28.39,2.2474,30726087.0,69.723
2019-07-31,28.25,2.2121,64485396.0,69.723
2019-08-01,27.61,2.1925,107976336.0,69.723
2019-08-02,27.6,2.1898,66036364.0,69.723
2019-08-04,27.6,2.1898,66036364.0,70.432
2019-08-05,26.68,2.1566,85527893.0,70.432
2019-08-06,27.11,2.3015,53444990.0,70.432
2019-08-07,26.75,2.2613,82354607.0,70.432
2019-08-08,27.26,2.6294,66653170.0,70.432
2019-08-09,27.17,2.7002,53782734.0,70.432
2019-08-11,27.17,2.7002,53782734.0,80.234
