ticker,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-04-03,9.64,35.8,643.34,17.5387,4.837,1.7145000000000001,4.04,5.7017
2019-04-04,9.56,35.8,647.22,17.6445,4.8661,1.7248,4.01,5.6675
2019-04-05,9.54,35.8,649.13,17.6966,4.8805,1.7299,4.0,5.6508
2019-04-08,9.41,35.8,646.27,17.6196,4.8611,1.7229,4.02,5.6754999999999995
2019-04-09,9.39,35.8,637.24,17.3734,4.7932,1.6989,4.08,5.7559000000000005
2019-04-10,9.41,35.8,637.15,17.371,4.7925,1.6985999999999999,4.08,5.7567
2019-04-11,9.44,35.8,642.78,17.5245,4.8349,1.7136,4.04,5.7063
2019-04-12,9.44,35.8,651.03,17.7494,4.8969000000000005,1.7356,3.99,5.634
2019-04-15,9.42,35.8,647.67,17.6578,4.8716,1.7267000000000001,4.01,5.6632
2019-04-16,9.43,35.8,651.48,17.7617,4.9003,1.7368000000000001,3.99,5.6301
2019-04-17,9.44,35.8,652.43,17.7876,4.9074,1.7393,3.98,5.6219
2019-04-18,9.58,35.8,659.7,17.9858,4.9620999999999995,1.7587000000000002,3.94,5.5599
2019-04-19,9.58,35.8,659.7,17.9858,4.9620999999999995,1.7587000000000002,3.94,5.5599
2019-04-22,9.61,35.8,657.6,17.9285,4.9463,1.7530999999999999,3.95,5.5777
2019-04-23,9.8,35.8,663.44,18.0877,4.9902999999999995,1.7687,3.91,5.5286
2019-04-24,9.86,35.8,661.38,18.0316,4.9748,1.7631999999999999,3.93,5.5458
2019-04-25,9.88,35.8,648.24,17.6733,4.8759,1.7282,4.01,5.6582
2019-04-26,9.84,35.8,652.91,17.8007,4.9111,1.7406000000000001,3.98,5.6178
2019-04-29,9.84,35.84,654.68,17.8324,4.9176,1.7443,3.9699999999999998,5.6078
2019-04-30,9.82,35.83,657.97,17.9181,4.941,1.7529,3.95,5.5809999999999995
2019-05-01,9.79,35.83,653.03,17.7835,4.9039,1.7398,3.98,5.6232
2019-05-02,9.79,35.83,652.17,17.7601,4.8974,1.7375,3.98,5.6306
2019-05-03,9.73,35.82,660.25,17.9807,4.9493,1.7589000000000001,3.93,5.5615
2019-05-06,9.75,35.82,653.88,17.8072,4.9016,1.7419,3.9699999999999998,5.6157
2019-05-07,9.75,35.82,640.52,17.4434,4.8014,1.7063000000000001,4.05,5.7328
2019-05-08,9.75,35.82,640.58,17.445,4.8019,1.7065000000000001,4.05,5.7323
2019-05-09,9.75,35.82,639.3,17.4102,4.7923,1.7031,4.06,5.7438
2019-05-10,9.72,35.82,641.72,17.4761,4.8104,1.7095,4.05,5.7221
2019-05-13,9.72,35.82,623.48,16.9793,4.6737,1.6609,4.16,5.8895
2019-05-14,9.73,35.82,630.14,17.1607,4.7236,1.6787,4.12,5.8273
2019-05-15,9.72,35.82,630.91,17.1817,4.7294,1.6806999999999999,4.12,5.8202
2019-05-16,9.73,35.82,636.37,17.3304,4.7703,1.6953,4.08,5.7702
2019-05-17,9.88,35.82,629.36,17.1395,4.7178,1.6766,4.13,5.8345
2019-05-20,9.89,35.82,627.59,17.0913,4.7045,1.6719,4.14,5.8509
2019-05-21,9.82,35.82,635.01,17.2933,4.7600999999999996,1.6916,4.09,5.7826
2019-05-22,9.76,35.82,629.83,17.1496,4.7213,1.6778,4.12,5.8309999999999995
2019-05-23,9.77,35.82,619.8,16.8765,4.6461,1.6511,4.19,5.9254
2019-05-24,9.78,35.82,620.08,16.8933,4.6495,1.6518000000000002,4.19,5.9195
2019-05-27,9.78,35.81,620.08,16.8933,4.6495,1.6518000000000002,4.19,5.9195
2019-05-28,9.78,35.81,614.2,16.7713,4.6022,1.6388,4.25,5.9626
2019-05-29,9.78,35.81,611.41,16.6951,4.5813,1.6314,4.27,5.9898
2019-05-30,9.78,35.81,613.78,16.7657,4.599,1.6389,4.25,5.9645
2019-05-31,9.78,35.76,604.8,16.5382,4.5517,1.6136,4.26,6.0466
2019-06-03,9.77,35.76,609.09,16.6555,4.5839,1.625,4.23,6.004
2019-06-04,9.76,35.82,623.5,17.0293,4.7133,1.6827999999999999,4.14,5.8722
2019-06-05,9.76,35.82,630.18,17.2118,4.7638,1.7008,4.1,5.8100000000000005
2019-06-06,9.76,35.82,630.22,17.2129,4.7641,1.7008999999999999,4.1,5.8096
2019-06-07,9.72,35.82,635.64,17.3609,4.8051,1.7156,4.06,5.7600999999999996
2019-06-10,9.73,35.82,636.44,17.3827,4.8111,1.7177,4.06,5.7528
2019-06-11,9.72,35.82,630.73,17.2268,4.7679,1.7023000000000001,4.09,5.8049
2019-06-12,9.72,35.82,632.0,17.2666,4.7775,1.7057,4.08,5.7915
2019-06-13,9.72,35.82,635.39,17.3592,4.8032,1.7149,4.06,5.7606
2019-06-14,9.72,35.82,632.91,17.2914,4.7844,1.7082000000000002,4.08,5.7832
2019-06-17,9.72,35.82,630.86,17.2354,4.7689,1.7027,4.09,5.802
2019-06-18,9.72,35.82,642.81,17.5619,4.8593,1.7349,4.02,5.6941
2019-06-19,9.72,35.82,642.69,17.5586,4.8584,1.7346,4.02,5.6952
2019-06-20,9.72,35.82,653.07,17.8281,4.9368,1.7626,3.94,5.6091
2019-06-21,9.71,35.82,649.74,17.7373,4.9117,1.7536,3.93,5.6379
2019-06-24,9.69,35.86,648.24,17.7332,4.9174,1.7513,3.93,5.6391
2019-06-25,9.68,35.86,643.5,17.6035,4.8814,1.7385000000000002,3.96,5.6807
2019-06-26,9.69,35.86,644.8,17.639499999999998,4.8913,1.742,3.95,5.6691
2019-06-27,9.68,35.86,645.41,17.6501,4.8959,1.7437,3.95,5.6657
2019-06-28,9.66,35.81,651.69,17.8156,4.9393,1.7593999999999999,3.89,5.6131
2019-07-01,9.72,35.71,653.25,18.2817,4.9134,1.7582,3.73,5.47
2019-07-02,9.74,35.71,652.38,18.2573,4.9069,1.7558,3.73,5.4773
2019-07-03,9.74,35.71,655.8,18.353,4.9326,1.7650000000000001,3.71,5.4487
2019-07-04,9.74,35.71,655.8,18.353,4.9326,1.7650000000000001,3.71,5.4487
2019-07-05,9.74,35.71,652.39,18.2579,4.9069,1.7559,3.73,5.4771
2019-07-08,9.73,35.71,647.59,18.1286,4.8708,1.7429000000000001,3.7800000000000002,5.5161
2019-07-09,9.73,35.71,646.22,18.0903,4.8605,1.7391999999999999,3.79,5.5278
2019-07-10,9.88,35.71,644.35,18.0379,4.8465,1.7342,3.8,5.5439
2019-07-11,9.88,35.71,648.92,18.1658,4.8808,1.7465000000000002,3.77,5.5048
2019-07-12,10.07,35.71,660.45,18.4744,4.9676,1.7766,3.71,5.4129
2019-07-15,10.14,35.71,657.74,18.3986,4.9472000000000005,1.7692999999999999,3.7,5.4352
2019-07-16,10.15,35.71,662.02,18.5183,4.9794,1.7809,3.68,5.4001
2019-07-17,10.08,35.71,647.63,18.1158,4.8711,1.7421,3.76,5.52
2019-07-18,10.1,35.71,649.23,18.1605,4.8832,1.7465000000000002,3.75,5.5064
2019-07-19,10.11,35.71,652.22,18.2442,4.9056999999999995,1.7545,3.73,5.4812
2019-07-22,10.11,35.71,652.93,18.264,4.911,1.7564,3.73,5.4752
2019-07-23,9.97,35.71,661.01,18.49,4.9718,1.7781,3.68,5.4083
2019-07-24,9.93,35.71,663.68,18.5637,4.9919,1.7852999999999999,3.67,5.3869
2019-07-25,9.5,35.71,662.3,18.5251,4.9815000000000005,1.7816,3.68,5.3981
2019-07-26,9.46,35.71,661.19,18.494,4.9731,1.7786,3.68,5.4071
2019-07-29,9.45,35.74,660.02,18.4558,4.9597999999999995,1.7755,3.74,5.4184
2019-07-30,9.3,35.74,662.55,18.5265,4.9788,1.7823,3.73,5.3977
2019-07-31,9.3,35.73,655.57,18.3256,4.9249,1.7633999999999999,3.77,5.4568
2019-08-01,9.26,35.73,642.57,17.9622,4.8273,1.7285,3.85,5.5672
2019-08-02,9.26,35.73,638.4,17.8457,4.7959,1.7172,3.87,5.6036
2019-08-05,9.27,35.73,620.74,17.3286,4.6633,1.6697,3.98,5.7708
2019-08-06,9.22,35.73,630.03,17.5879,4.7331,1.6947,3.92,5.6857
