ticker,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-06-10,4.31,39.7,300.64,20.1065,2.1771,2.5047,-2.45,4.9735
2019-06-11,4.31,39.7,298.56,19.9674,2.162,2.4874,-2.4699999999999998,5.0082
2019-06-12,5.09,39.7,302.54,20.2336,2.1909,2.5206,-2.44,4.9423
2019-06-13,5.08,39.7,303.0,20.2644,2.1942,2.5244,-2.43,4.9348
2019-06-14,5.08,39.7,306.01,20.4657,2.216,2.5495,-2.41,4.8862
2019-06-17,5.08,39.7,304.98,20.3968,2.2085,2.5409,-2.42,4.9027
2019-06-18,5.05,39.7,304.03,20.3333,2.2016999999999998,2.533,-2.43,4.9181
2019-06-19,5.05,39.7,306.49,20.4978,2.2195,2.5535,-2.41,4.8786000000000005
2019-06-20,5.07,39.7,308.15,20.6088,2.2315,2.5673,-2.39,4.8523
2019-06-21,5.06,39.7,309.59,20.7051,2.2419000000000002,2.5793,-2.38,4.8297
2019-06-24,5.16,39.69,309.64,20.7056,2.2407,2.5811,-2.39,4.8296
2019-06-25,5.22,39.69,307.71,20.5766,2.2267,2.565,-2.4,4.8599
2019-06-26,5.2,39.69,301.09,20.1339,2.1788,2.5098000000000003,-2.46,4.9667
2019-06-27,5.2,39.69,301.47,20.1593,2.1814999999999998,2.513,-2.45,4.9605
2019-06-28,5.2,39.69,303.04,20.2643,2.1929,2.5261,-2.44,4.9348
2019-07-01,5.28,39.99,302.09,20.0104,2.1775,2.5297,-2.6,4.9974
2019-07-02,5.28,39.99,305.84,20.2588,2.2045,2.5611,-2.57,4.9361
2019-07-03,5.28,39.99,308.42,20.4297,2.2231,2.5827999999999998,-2.55,4.8948
2019-07-04,5.28,39.99,308.42,20.4297,2.2231,2.5827999999999998,-2.55,4.8948
2019-07-05,5.28,39.99,307.9,20.3953,2.2194,2.5784000000000002,-2.55,4.9031
2019-07-08,5.28,39.99,308.25,20.4184,2.2218999999999998,2.5813,-2.55,4.8975
2019-07-09,5.28,39.99,308.44,20.431,2.2233,2.5829,-2.55,4.8945
2019-07-10,5.28,39.99,309.42,20.4959,2.2303,2.5911,-2.54,4.879
2019-07-11,5.28,39.99,309.53,20.5032,2.2311,2.592,-2.54,4.8773
2019-07-12,5.28,39.99,307.55,20.3721,2.2169,2.5755,-2.55,4.9087
2019-07-15,5.28,39.99,308.69,20.4476,2.2251,2.585,-2.54,4.8906
2019-07-16,5.27,39.99,306.93,20.331,2.2124,2.5703,-2.56,4.9186
2019-07-17,5.27,39.99,308.26,20.4191,2.222,2.5814,-2.55,4.8974
2019-07-18,5.27,39.99,310.7,20.5807,2.2396,2.6018,-2.5300000000000002,4.8589
2019-07-19,5.27,39.99,306.2,20.2826,2.2071,2.5642,-2.56,4.9303
2019-07-22,3.7800000000000002,39.99,305.64,20.2455,2.2031,2.5595,-2.57,4.9394
