ticker,XLP US Equity,XLP US Equity,XLP US Equity,XLP US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-06-13,59.06,2.6186,11564631.0,85.164
2019-06-14,59.09,2.7508,9726115.0,85.164
2019-06-16,59.09,2.7508,9726115.0,82.435
2019-06-17,58.92,2.8826,8796634.0,82.435
2019-06-18,58.6,2.3693,18120638.0,82.435
2019-06-19,58.84,2.3834,13457174.0,82.435
2019-06-20,59.36,2.3343,13566320.0,82.435
2019-06-21,58.72,3.6565,15416200.0,82.435
2019-06-23,58.72,3.6565,15416200.0,80.78
2019-06-24,58.87,3.6452999999999998,17796466.0,80.78
2019-06-25,58.84,3.367,11861741.0,80.78
2019-06-26,58.0,3.3405,11672553.0,80.78
2019-06-27,58.11,3.0996,11524922.0,80.78
2019-06-28,58.07,3.109,12409320.0,80.78
2019-06-30,58.07,3.109,12409320.0,79.187
2019-07-01,58.42,3.1072,12665179.0,79.187
2019-07-02,58.93,3.0936,11913548.0,79.187
2019-07-03,59.66,3.1673999999999998,11995833.0,79.187
2019-07-05,59.4,3.2333,11008217.0,79.187
2019-07-07,59.4,3.2333,11008217.0,80.288
2019-07-08,59.48,3.4472,9257128.0,80.288
2019-07-09,59.13,3.2718,12499546.0,80.288
2019-07-10,59.51,3.2921,16804866.0,80.288
2019-07-11,59.66,3.2246,12575287.0,80.288
2019-07-12,59.83,3.3123,8731980.0,80.288
2019-07-14,59.83,3.3123,8731980.0,81.205
2019-07-15,59.97,3.4074,7212607.0,81.205
2019-07-16,59.99,3.3009,13578987.0,81.205
2019-07-17,59.92,3.4746,9050086.0,81.205
2019-07-18,60.32,3.8089,9445260.0,81.205
2019-07-19,59.94,3.7880000000000003,7460398.0,81.205
2019-07-21,59.94,3.7880000000000003,7460398.0,78.009
2019-07-22,59.59,4.7277000000000005,7135087.0,78.009
2019-07-23,60.02,3.6042,10058256.0,78.009
2019-07-24,59.62,3.7955,7975850.0,78.009
2019-07-25,59.7,3.8001,9469200.0,78.009
2019-07-26,60.37,3.8859,14727927.0,78.009
2019-07-28,60.37,3.8859,14727927.0,77.385
2019-07-29,60.48,3.6836,6121309.0,77.385
2019-07-30,60.66,3.2509,14124035.0,77.385
2019-07-31,59.43,3.1595,16826760.0,77.385
2019-08-01,59.22,2.9253,30148243.0,77.385
2019-08-02,59.23,2.9501,24368724.0,77.385
2019-08-04,59.23,2.9501,24368724.0,71.968
2019-08-05,57.69,2.5214,26364783.0,71.968
2019-08-06,58.21,2.7521,20126351.0,71.968
2019-08-07,58.89,2.6090999999999998,17550845.0,71.968
2019-08-08,59.65,2.4531,24011277.0,71.968
2019-08-09,59.32,2.6086,10590199.0,71.968
2019-08-11,59.32,2.6086,10590199.0,74.107
2019-08-12,58.92,2.6872,11773974.0,74.107
2019-08-13,59.59,2.6254,13201453.0,74.107
2019-08-14,58.65,2.6586,17281352.0,74.107
2019-08-15,59.53,3.1964,14441875.0,74.107
2019-08-16,60.21,2.9506,18294626.0,74.107
2019-08-18,60.21,2.9506,18294626.0,75.332
2019-08-19,60.81,3.1759,13180762.0,75.332
2019-08-20,60.15,2.9602,8959335.0,75.332
2019-08-21,60.31,3.1624,8735923.0,75.332
2019-08-22,60.63,3.1718,7127628.0,75.332
2019-08-23,59.62,3.1143,25296118.0,75.332
2019-08-25,59.62,3.1143,25296118.0,74.28
2019-08-26,60.36,3.117,13629835.0,74.28
2019-08-27,60.19,3.1,13389351.0,74.28
2019-08-28,60.77,2.9718999999999998,12435730.0,74.28
2019-08-29,60.8,2.8838,9657640.0,74.28
2019-08-30,60.72,2.8837,8566987.0,74.28
2019-09-01,60.72,2.8837,8566987.0,74.444
2019-09-03,61.07,2.9478,15551872.0,74.444
2019-09-04,61.62,2.6193999999999997,12200477.0,74.444
2019-09-05,61.24,2.6695,15720085.0,74.444
2019-09-06,61.44,2.8125999999999998,13904196.0,74.444
2019-09-08,61.44,2.8125999999999998,13904196.0,78.381
2019-09-09,61.3,2.7798,27082417.0,78.381
2019-09-10,60.92,2.6043,31984951.0,78.381
2019-09-11,61.14,1.791,17422191.0,78.381
2019-09-12,61.39,1.8131,18296204.0,78.381
2019-09-13,61.04,1.823,17830533.0,78.381
2019-09-15,61.04,1.823,17830533.0,75.726
2019-09-16,60.45,1.9043999999999999,16741202.0,75.726
2019-09-17,60.78,1.5814,11683572.0,75.726
2019-09-18,60.88,1.6503,10969401.0,75.726
2019-09-19,60.87,1.7207,10684532.0,75.726
2019-09-20,60.32,1.9146,13957878.0,75.726
2019-09-22,60.32,1.9146,13957878.0,74.558
2019-09-23,60.56,1.8085,8773667.0,74.558
2019-09-24,60.81,1.5048,17305933.0,74.558
2019-09-25,60.85,1.4252,17628501.0,74.558
2019-09-26,61.19,1.4279,15581554.0,74.558
2019-09-27,61.12,1.391,14293982.0,74.558
2019-09-29,61.12,1.391,14293982.0,73.786
2019-09-30,61.42,1.3780000000000001,11080925.0,73.786
2019-10-01,61.26,1.2793999999999999,16845914.0,73.786
2019-10-02,60.03,1.264,18672725.0,73.786
2019-10-03,60.45,1.2743,21000409.0,73.786
2019-10-04,61.4,1.2539,12017330.0,73.786
2019-10-06,61.4,1.2539,12017330.0,72.14
2019-10-07,60.9,1.2655,9418609.0,72.14
2019-10-08,60.32,1.2468,15290815.0,72.14
2019-10-09,60.78,1.3183,8549051.0,72.14
2019-10-10,60.9,1.3374,8685917.0,72.14
2019-10-11,60.84,1.3732,18187231.0,72.14
2019-10-13,60.84,1.3732,18187231.0,73.432
2019-10-14,60.54,1.3647,7569968.0,73.432
2019-10-15,60.28,1.397,12233274.0,73.432
2019-10-16,60.34,1.3949,10406311.0,73.432
2019-10-17,60.62,1.3817,13211138.0,73.432
2019-10-18,60.74,1.4118,9301249.0,73.432
2019-10-20,60.74,1.4118,9301249.0,74.173
2019-10-21,60.94,1.4142000000000001,9981664.0,74.173
2019-10-22,60.96,1.4031,12497014.0,74.173
2019-10-23,61.24,1.4201,7599184.0,74.173
2019-10-24,61.45,1.3976,9089533.0,74.173
2019-10-25,61.09,1.3887,7518628.0,74.173
2019-10-27,61.09,1.3887,7518628.0,75.837
2019-10-28,60.97,1.4858,11154157.0,75.837
2019-10-29,60.97,1.3418,10072443.0,75.837
