ticker,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-09-20,7.16,34.42,170.66,20.7468,3.3464,3.0195,4.87,4.82
2019-09-23,7.11,34.37,169.98,20.6215,3.3303,3.0108,4.89,4.8493
2019-09-24,7.09,34.37,167.7,20.3449,3.2856,2.9705,4.95,4.9152000000000005
2019-09-25,7.13,34.37,169.58,20.573,3.3224,3.0038,4.9,4.8607
2019-09-26,7.12,34.37,168.23,20.4092,3.296,2.9798,4.9399999999999995,4.8998
2019-09-27,7.1,34.37,166.67,20.2199,3.2654,2.9522,4.98,4.9456
2019-09-30,7.1,33.32,167.26,20.4839,3.2354,2.906,4.95,4.8819
2019-10-01,7.09,33.32,165.56,20.2757,3.2025,2.8765,5.0,4.932
2019-10-02,7.13,33.32,163.32,20.0014,3.1591,2.8375,5.07,4.9996
2019-10-03,7.17,33.32,164.67,20.1667,3.1853,2.8609999999999998,5.03,4.9587
2019-10-04,7.17,33.32,166.98,20.4496,3.2298999999999998,2.9011,4.96,4.8901
2019-10-07,7.15,33.32,167.05,20.4582,3.2313,2.9023,4.95,4.888
2019-10-08,7.15,33.32,164.85,20.1888,3.1887,2.8641,5.02,4.9532
2019-10-09,7.41,33.32,165.47,20.2647,3.2007,2.8749000000000002,5.0,4.9347
2019-10-10,7.5,33.32,166.53,20.3945,3.2212,2.8933,4.97,4.9033
2019-10-11,7.53,33.32,168.26,20.6064,3.2547,2.9234,4.92,4.8529
2019-10-14,7.34,33.32,167.92,20.564799999999998,3.2481,2.9175,4.93,4.8627
2019-10-15,7.43,33.32,170.64,20.8979,3.3007,2.9647,4.85,4.7852
2019-10-16,7.13,33.32,170.89,20.9285,3.3056,2.9691,4.84,4.7782
2019-10-17,7.13,33.32,171.98,21.062,3.3266999999999998,2.988,4.8100000000000005,4.7479
2019-10-18,7.08,33.32,170.48,20.8783,3.2976,2.9619,4.85,4.7897
2019-10-21,7.11,33.32,171.19,20.9652,3.3114,2.9743,4.83,4.7698
2019-10-22,7.05,33.32,169.65,20.7766,3.2816,2.9475,4.88,4.8131
2019-10-23,7.1,33.32,170.73,20.9089,3.3025,2.9663,4.85,4.7827
2019-10-24,7.1,33.32,169.48,20.7558,3.2782999999999998,2.9446,4.88,4.8179
2019-10-25,7.25,33.32,170.68,20.9028,3.3015,2.9654,4.85,4.7841000000000005
